food,Carbohydrates,Sugars
lotus seeds dried,20.6,0
butternuts dried,14.5,0
sesame seeds dried,2.1,0.031
breadfruit seeds,8.8,0
pinyon pine nuts dried,0.01,0
pine nuts dried,17.7,4.8
flaxseeds,3,0.2
safflower seed kernels dried,9.7,0
pistachio nuts raw,33.8,9.4
peanuts raw,23.5,5.8
poppy seeds,2.5,0.3
valencia peanuts raw,30.5,0
spanish peanuts,23.1,0
dill seeds,3.6,0
caraway seeds,3.3,0.038
acorn raw,11.5,0
almonds roasted,5.3,1.4
lotus seeds raw,4.9,0
chestnuts cooked,7.9,0
alfalfa seeds,0.002,0.058
virginia peanuts roasted,6,0
hazelnuts raw,12.5,3.3
anise seeds,1.1,0
macadamia nuts roasted,4,1.2
studentenfutter alnatura,13.2,11.7
pumpkin squash seeds roasted,1.2,0.1
water chestnut raw,29.7,6
chestnuts roasted,7.9,1.6
ginkgo nuts raw,10.6,0
almonds raw,0.3,0.026
peanuts roasted,4.6,1.3
sunflower seeds toasted,27.6,0
sisymbrium seeds,43.1,0
breadnut tree seeds dried,127,0
pecans raw,15.1,4.3
chia seeds dried,11.9,0
japanese chestnuts roasted,12.8,0
sesame seeds toasted,2.1,0
cashew nuts roasted,9,1.5
lupins raw,72.7,0
mustard seeds ground,0.6,0.1
mixed nuts roasted,7.6,1.4
salat mix alestro,2.4,0
chestnuts raw,66,0
pistachio nuts roasted,8.5,2.3
walnut,0.7,0.1
celery seeds,2.7,0.078
hickorynuts dried,21.9,0
spanish peanuts roasted,25.7,0
woca seeds dried,22.6,0.1
pecans roasted,3.9,1.2
fennel seeds,1,0
chinese chestnuts roasted,14.8,0
watermelon seed kernels dried,16.5,0
macadamia nuts raw,0.7,0.2
pectin,45.2,0
black walnut dried,0.5,0.018
water chestnut canned,17.2,3.4
ginkgo nuts dried,20.5,0
virginia peanuts raw,24.1,5.8
valencia peanuts roasted,4.9,0
nesfit diet cereal nestle,0,0
corn grits cooked,37.9,0.3
amaranth flakes,27,0.2
granola,32.3,11.9
muesli with fruit nuts,45.7,14.2
muesli master crumble,4.5,0.042
bran flakes,32.2,7.4
nut cereal,46.2,17.2
corn flakes,24.6,2.2
corn grits dry,7.7,0.008
margarine with yoghurt,0.073,0
sunflower seed butter,3.7,1.7
hazelnut oil,0,0
menhaden fish oil,0,0
cod liver fish oil,0,0
sardine oil,0,0
cupu assu oil,0,0
lard,0,0
sesame butter,3.8,0
margarine spread,0.1,0
lard vegetable oil,0,0
shortening,0,0
vegetable oil spread,0.1,0
cottonseed oil,0,0
vegetable oil spread fat free,0.4,0
soy margarine,0,0
margarine with salt,0.017,0
margarine,0.018,0
salmon fish oil,0,0
nutmeg butter oil,0,0
almond butter,3,0.7
sour cream shoprite,1,0.014
ucuhuba butter oil,0,0
chicken fat,0,0
herring fish oil,0,0
bacon grease,0,0
turkey fat,0,0
beef tallow,0,0
goose fat,0,0
duck fat,0,0
mutton tallow,0,0
grapeseed oil,0,0
sheanut oil,0,0
almond oil,0,0
sunflower oil,0,0
cashew butter,4.4,0.8
canola oil,0,0
babassu oil,0,0
teaseed oil,0,0
avocado oil,0,0
vegetable palm kernel oil,0,0
coconut oil,0,0
safflower oil,0,0
vegetable oil,0,0
apricot kernel oil,0,0
peanut oil,0,0
poppyseed oil,0,0
flaxseed oil,0,0
tomatoseed oil,0,0
wheat germ oil,0,0
sesame oil,0,0
corn granola oil,0,0
cocoa butter oil,0,0
olive oil,0,0
palm kernel oil,0,0
mustard oil,0,0
rice bran oil,0,0
vegetable macaroni dry,62.9,0
chow mein noodles,37.5,0.5
chinese noodles,111.9,0
vegetable macaroni cooked,35.7,1.5
corn pasta dry,83.2,0
egg noodles dry,27.1,0.7
whole wheat spaghetti dry,21.2,0
japanese soba noodles dry,21.1,0
rice noodles dry,23.6,0
spinach spaghetti dry,21.2,0.8
egg noodles cooked,20.1,0.3
japanese somen noodles cooked,48.5,0
whole wheat macaroni dry,78.8,0
pasta marinara and ground beef sauce,4.1,1
macaroni raw,78.4,2.8
spaghetti dry,21.1,0.8
fusilli cucina,3.4,0.041
japanese somen noodles dry,21,0
pasta cooked,57.3,0
macaroni cooked,43.2,0.8
spinach egg noodles dry,26.7,0
japanese soba noodles cooked,24.4,0
rice noodles cooked,42.3,0.052
whole wheat macaroni cooked,37.2,1.1
spaghetti cooked,71,1.3
whole wheat spaghetti cooked,37.2,1.1
waffle,24.7,0
baked taco shell,8.3,0.2
puff pastry,112,1.8
blueberry muffin,30.2,17.9
bread crumbs,77.7,6.7
warm cinnamon roll mcdonalds,15,7
corn muffin,33.7,11.7
tortilla,98.4,5.4
croutons seasoned,25.4,1.8
buttermilk waffle,16,1.5
flour tortilla,24.1,1.3
glazed donut,6.2,3
corn tortilla,10.7,0.2
muffin,23.6,0
croutons,5.9,0
donut with jelly filling,33.2,17.9
sweet cinnamon rolls,42.2,26.3
oat bran muffin,8.2,1.4
french cruller donut,24.4,14.4
pancakes,10.8,0
chocolate donut,34.4,19.2
sweet cheese rolls,28.8,0
eclair,11.2,2
donut with cream filling,25.5,12.4
fruit toaster pastry,37.1,14.8
donut,22.9,0
pancakes whole wheat,12.9,0
keikitos,22.3,10.8
zwieback,5.2,0.9
chocolate coated donut,9.2,4.8
waffle toasted,16.3,1.7
cinnamon toaster pastry,34.1,0
wheat bran bread,17.2,3.5
white bread,14.3,1.6
oat bran bread,11.9,2.3
whole wheat bread natures own,0,0
high protein bread dr zaks,15.3,0.6
wheat bread,13.8,1.7
egg bread toasted,19.5,0.7
butter toastbrot ja,2,0.4
vienna bread toasted,18,1
vienna bread,18.1,0.8
protein bread,8.3,0.3
banana bread,31.1,0
rice bran bread,11.7,1.3
white fibre wonder bread,18,2
focaccia,20.4,1
oat bran bread toasted,11.8,2.3
rye bread,15.5,1.2
wheat germ bread,13.5,1
protein bread toasted,8.2,0.2
oatmeal bread,13.1,2.2
arepa,36.4,0.9
raisin bread toasted,16.5,1.8
cracked wheat bread,14,0
garlic bread,17.9,1.6
rye bread toasted,15.4,1.2
whole wheat bread,23.6,1.8
whole wheat bread toasted,23.7,1.8
pan dulce bread,35.5,7.9
rice bran bread toasted,11.8,1.3
pita bread whole wheat,15.4,0.2
wheat germ bread toasted,13.6,1
pumpernickel bread,12.4,0.1
frybread,73.4,3.1
white bread toasted,15.4,1.3
piki bread,20.2,0.4
wheat bread toasted,13.4,1.5
pita bread,33.4,0.8
potato bread,15.1,3
egg bread,19.1,0.7
oatmeal bread toasted,13.2,2.2
cheese bread,21.5,1
pumpernickel bread toasted,15.1,0.2
raisin bread,16.7,1.8
pumpernickel roll,14.8,0.1
cinnamon raisin bagel,14.4,1.6
english muffin,25.5,0.9
rye dinner roll,22.8,0.5
english muffin whole wheat,26.7,5.3
dinner roll whole wheat,14.3,2.4
dinner roll,12.9,0.5
hotdog roll,21.1,3.1
bagel,47.9,6
oat bran bagel,36.8,1.1
pain au chocolat de la boulangerie,0,0
egg bagel,13.8,0
english muffin toasted,27.4,1.8
english muffin whole wheat toasted,26.9,5.4
biscuit,45,2.2
french roll,19.1,0.1
oat bran dinner roll,13.3,2.2
pecan shortbread cookies,8.2,0
oatmeal cookies,17.2,6.2
chocolate wafers,81.1,33.2
vanilla wafers low fat,58.9,30
chocolate chip cookies mcdonalds,18.7,9.6
gingersnap cookies,5.4,1.4
biscotti abbracci mulino bianco,0.8,0.051
chocolate chip cookie,9.3,5.3
brownie,38.3,22
shortbread cookies,5.2,1.2
oatmeal cookies with raisins,10.3,0
peanut butter sandwich cookies,9.2,5
sugar cookies,10.2,5.7
chocolate covered graham crackers,9.3,5.8
raisin cookies,10.2,7.1
vanilla wafers,4.3,0
graham crackers,64.5,26.1
peanut butter cookies,11.8,0
vanilla sandwich cookie,10.8,5.9
sugar wafers with creme filling,7.1,4.3
cheese puffs,18.6,1.1
saltine crackers,2.2,0.063
trail mix,13.5,0
corn cones,17.8,0
chocolate pretzels,7.8,0
french toast sticks,8.9,2.1
crackers,9.8,1.3
sesame sticks,4.7,0.084
cheese crackers,4.2,0.3
oriental rice cracker mix,14.6,0.8
breadsticks,17.1,0.3
milk crackers,7.7,1.8
matzo crackers whole wheat,22.1,0
matzo crackers with egg,22,0
granola bites,3.3,1.5
crackers whole wheat,19.5,0.3
tropical trail mix,91.8,0
soft pretzels,79.8,0.3
corn tostada shell,7.9,0
matzo crackers,23.4,0.098
sesame crunch,0.9,0.6
trail mix with chocolate chips,65.6,0
cracker meal,93,0.4
puffed rice,34.1,0
filinchen gutena,0.5,0.028
melba toast crackers,23,0.3
matzo crackers with egg onion,21.6,0
cornnuts,20.3,0.2
bagel chips,116.1,10.5
pretzels,24.1,0.7
potato raw,37.2,1.7
gatto di patate home made,4,3.6
baked potato,36.6,2
potato sticks,19.2,0.006
potato cooked,12.1,0.5
vivaldi potatoes sainsburys,0,0
potato ham chowder soup,13.4,0
russet potato raw,66.7,2.3
russet potato baked,64.1,3.2
french fries,2.2,0.088
potato scalloped,26.4,0
cottage fries,1.9,0.019
mashed potatoes,35.5,1.2
mashed potato with milk and butter,35.3,3
red potato raw,33.9,2.7
potato pancake,6.1,0.4
potato puffs,35.5,0.3
red potato baked,16.7,1.2
potatoes canned,29.7,0
potato skin raw,4.7,0
shoestring french fries,0.7,0.062
hash brown potato,15.3,0.3
baked chips lays,0,0
corn chips,17.2,0.031
nacho cheese tortilla chips low fat,18.5,0.8
corn chips barbecue,111.3,0
corn chips unsalted,50.5,1.2
potato chips fat free,190.1,8.4
sweet chilli kettle baked chips,2.1,0.4
taro chips,1.6,0.04
potato chips reduced fat,113.7,0.4
onion snacks,19.5,1.4
potato chips cheese,98.1,0
yuca cassava chips,1.2,0.006
tortilla chips low fat,22.6,0.2
ranch flavor tortilla chips,124.2,6
potato chips,15.9,0.007
tortilla chips,20.3,0.2
sweet potato chips,15.9,2.5
nacho cheese tortilla chips,18.2,0.8
vegetable chips,17.1,1.1
taco flavor tortilla chips,143.2,0
potato chips barbecue,104.5,14
pita chips,20.5,1.4
potato chips sour cream and onion,102,0
adobo fresco,53.6,5.8
chili pepper sauce red,0.6,0.4
creamy ranch sauce mcdonalds,1,1
catsup,4.5,3.7
chili pepper sauce green,0.8,0.4
red wine vinegar,0.011,0
fish sauce,0.7,0.7
coleslaw dressing reduced fat,6.8,6.6
sour dressing,0.6,0.6
guava sauce cooked,22.6,14
pizza sauce,21.8,9.5
sweetn sour sauce mcdonalds,11,10
nance syrup,0.8,0.6
french dressing reduced fat,4.7,4.6
peppercorn dressing,0.5,0.3
sorghum syrup,15.7,15.7
ranch dressing fat free,3.7,0.7
caesar dressing low calorie,2.8,2.4
sweet sour dressing,0.6,0.6
mayonnaise imitation fat free,2.5,1.6
sofrito,11.2,0
turkey gravy instant,3.9,0.5
teriyaki sauce,2.8,2.5
tomato sauce,13,8.7
barbecue sauce kraft,6.5,5.2
cranberry sauce sweetened,107.8,105
coleslaw dressing,3.8,3.2
onion gravy dry,16.2,0
corn syrup light,16.9,16.9
bacon tomato dressing,0.3,0.3
pancake syrup,13.9,8.4
balsamic vinegar,2.7,2.4
ranch dressing reduced fat,3.2,0.6
barbecue sauce mcdonalds,10.3,9.6
vinegar oil dressing,0.4,0.4
poppyseed dressing,4,3.9
honey mustard dressing,3.5,2.4
french dressing fat free,5.1,2.6
vinegar,0.089,0.063
spray dressing,1.3,1.1
honey mustard dressing fat free,5.8,2.7
mushroom gravy,13,0
white sauce,22.9,11
marinara pasta sauce,19.9,14.5
tomato sauce with mushrooms,20.7,14.1
pork gravy powder,4.3,1.7
beef gravy,11.2,0.5
green goddess dressing,1.1,1
salsa con queso,27.9,4.9
cocktail sauce,4.2,1.8
worcestershire sauce,3.3,1.7
barbecue sauce,6.9,5.7
tomato sauce with onions,24.4,0
brown gravy dry,3.6,0
blue cheese dressing light,2.1,0.6
spanish tomato sauce,17.7,0
oyster sauce,2,0
cheese sauce,0.8,0.033
hoisin sauce,7.1,4.4
pickle relish,5.3,4.4
tomato sauce with herbs cheese,25,0
french dressing,2.5,2.6
mayonnaise hellmanns,0.087,0.2
canadian maple syrup,19.1,17
maple syrup,13.4,13.6
barbecue sauce bulls eye,6.4,5.6
ranch dressing,0.9,0.7
tomato ketchup mp,0.2,0
mayonnaise light,1.4,0.5
mayonnaise dressing,0.066,0.093
malt syrup,15,15
gravy dry,14.5,0
cranberry orange relish,127.1,0
caesar dressing,0.5,0.4
italian dressing,1.8,1.6
brown gravy instant,4,0.6
roquefort cheese dressing,0.4,0.4
blue cheese dressing,0.7,0.5
duck sauce,19.7,9.9
au jus,5.9,0
corn syrup dark,15.5,15.5
buttermilk dressing light,3.2,0.6
cider vinegar,0.1,0.018
tartar sauce,2,0.6
pepper hot sauce,0.031,0.065
tomato chili sauce,1.2,0.6
turkey gravy dry,4.6,0
salsa sauce,1.2,0.7
steak sauce,3.7,1.7
molasses,14.9,14.9
italian dressing fat free,1.2,1.2
plum sauce,8.1,0
chow mein stir fry master foods,0,0
beef gravy instant,4.1,1.6
horseradish,0.6,0.4
grenadine,13.4,9.3
tabasco sauce,0.006,0.067
sweet sour sauce,6.7,3.3
salsa verde,1,0.5
miso,5.1,1.2
sprouted soybean cooked,6.1,0.4
soy flour roasted,28.6,6.5
soy flour low fat,30.7,9.3
green soybean cooked,9.9,0
azumaya tofu vitasoy,9.1,1.6
soy proteins isolate,2.1,0
tofu yogurt,41.8,3.2
bacon meatless,9.1,0
meatless chicken fried,11.1,0
soymilk,8.4,6.1
soy vermicelli,115.2,24.4
tofu fried,1.2,0.4
tempeh,15.6,0
koyadofu,1.7,0
meatless meatloaf,4.5,0.7
soya vanille joghurt alpro,1,0.09
soybean curd cheese,15.5,3.6
soy sauce,0.8,0.097
soybean dry roasted,30.4,0
soybean oil,0,0
meatless chicken,6.1,0
soybean cooked,17.1,5.2
soymilk nonfat,10.1,8.9
soy flour,1.8,0.4
soybean lecithin oil,0,0
tofu raw,4.7,0
soy chips,15,0.5
green soybean raw,28.3,0
soy proteins concentrate,7.2,0
soybean margarine,0.043,0
chocolate soymilk nonfat,20.7,8.9
okara,15.3,0
meatless meatballs,11.5,1.8
vanilla soymilk,15.3,9.7
soy meal raw,49,0
soymilk low fat,17.5,8.5
sprouted soybean raw,6.7,0
soybean raw,56.1,13.6
tempeh cooked,2.6,0
vanilla soymilk light,9.4,1
chocolate soymilk,24.2,19.1
soy oil,0,0
natto,11.5,3.9
chrysanthemum raw,1.5,0
gourd cooked,25.5,9.2
cauliflower raw,0.6,0.2
red cabbage raw,12.5,6.5
broccoli raab raw,1.1,0.2
napa cabbage cooked,2.4,0
kelp,0.5,0.069
shallots raw,4.2,2
bamboo shoots raw,9.4,5.4
jute cooked,6.3,0.9
red lettuce,0.6,0.1
broccoli cooked,20.1,3.9
romanesco raw,3.9,1.9
eggplant raw,26.9,16.2
leeks raw,12.6,3.5
lemongrass citronella,1.2,0
pumpkin cooked,12,5.1
celery cooked,1.5,0.9
serrano pepper,0.4,0.2
nopales raw,2.9,1
sweet potato leaves cooked,4.7,3.5
eggplant cooked,8.1,3.2
asparagus cooked,0.6,0.2
rutabaga cooked,16.4,9.5
parsnips raw,30.6,8.2
sour pickles,3.5,1.6
turnip greens cooked,6.3,0.8
jerusalem artichokes,26.2,14.4
collard raw,2,0.2
chrysanthemum cooked,4.3,2
oriental radish dried,73.5,43.3
tomatillos,7.7,5.2
taro shoots raw,2,0
acorn squash raw,44.9,0
leeks dried,2.4,0
cabbage raw,16.2,9
sweet red peppers cooked,4.5,3.2
sweet red peppers raw,9,6.3
cucumber peeled,2.9,1.8
purslane raw,1.5,0
peas onions cooked,15.5,6.8
tomato cooked,4.9,3.1
taro shoots cooked,4.5,0
scots kale raw,5.6,0
artichoke raw,13.5,1.3
navy bean sprouts raw,13.6,0
sweet pickles,33.8,29.2
oriental radish cooked,5,2.7
sweet potato leaves raw,3.1,0
irishmoss,0.6,0.098
drumstick leaves cooked,4.7,0.4
winter squash raw,10,2.6
pumpkin raw,7.5,3.2
chicory greens,1.4,0.2
spinach cooked,6.8,0.8
radish pickled,7.8,3
sweet onion,25,16.6
salsify cooked,20.7,3.9
radish seeds sprouted,1.4,0
turnips raw,11.8,7
burdock root raw,20.5,3.4
red cabbage cooked,11.8,5.6
jute raw,1.6,0
hot chile pepper dried,0.3,0.2
salsify raw,24.7,0
crookneck squash raw,4.9,4.5
indian squash cooked,7.6,4.7
poi,65.4,0.9
sesbania flower cooked,5.3,0
acorn squash cooked,29.9,0
cauliflower cooked,5.1,2.6
crookneck squash cooked,6.8,4.5
laver seaweed,0.1,0.071
mountain yam cooked,29,0
pumpkin flowers raw,1.1,0
mustard greens raw,2.6,0.7
arrowhead,2.4,0
japanese cabbage,8.5,2
mung bean sprouts cooked,4.5,3.5
scallop squash cooked,5.9,2.7
pumpkin leaves cooked,2.4,0.5
hungarian pepper,1.8,1
sweet potato baked,23.6,7.4
chinese cabbage pe tsai raw,2.5,1.1
taro raw,27.5,0.4
yam bean jicama,11.5,2.3
olives,0.5,0
mustard greens cooked,6.3,2
pumpkin flowers cooked,4.4,3.2
tree fern cooked,15.3,0
yellow corn raw,123.3,1.1
endive,1.7,0.1
wakame,7.3,0.5
tahitian taro raw,8.6,0
broccoli raw,6,1.5
sweet green peppers raw,6.9,3.6
chinese cabbage pak choi cooked,3,1.4
agar,0.3,0.005
watercress,0.4,0.099
beet greens cooked,7.9,0.9
winter squash cooked,18.1,6.8
new zealand spinach raw,1.4,0.2
okra,0.9,0.2
yautia tannier,31.9,0
mustard spinach cooked,5,0
rhubarb cooked,74.9,68.9
beets raw,13,9.2
drumstick pods raw,8.5,0
baby zucchini,0.3,0
onion raw,3.7,1.7
romanesco cooked,7.7,0
butternut squash raw,23.4,4.4
amaranth leaves,1.1,0
turnip greens raw,3.9,0.4
spaghetti squash raw,7,2.8
seaweed dry,9.2,0
yam cooked,37.4,0.7
corn dried,18.8,6
cucumber,5.4,2.5
arrowroot,16.1,0
cardoon raw,7.2,0
bamboo shoots cooked,2.3,0
summer squash raw,8.7,5.7
sweet potato raw,26.2,5.4
green tomato,9.3,7.3
beet greens raw,1.6,0.2
savoy cabbage cooked,9.2,0
witloof chicory,2.1,0
turnips cooked,7.9,4.7
dried tomatoes,1.1,0.8
radicchio,2.9,0.4
mixed vegetables cooked,23.8,5.7
yellow tomato,6.3,0
cardoon cooked,6.4,0
spinach raw,1.1,0.1
kale raw,0.9,0.2
drumstick pods cooked,9.7,0
kohlrabi raw,16.4,6.9
lentil sprouts,17,0
carrots raw,5.8,2.9
red chili peppers,4,2.4
fennel,17.1,0
sweet corn white,13.9,2.4
celeriac raw,14.4,2.5
hubbard squash raw,10.1,4.6
brussels sprouts cooked,1.5,0.4
carrots cooked,3.8,1.6
lambs quarters raw,0.069,0
lotus root cooked,1.4,0
split peas raw,118.9,15.8
scots kale cooked,7.3,0
corn cooked,21.6,4.7
radish raw,0.2,0.066
stinging nettles,6.7,0.2
baby carrots,1.2,0.7
sweet yellow peppers,11.8,0
taro leaves raw,1.9,0.8
corn raw,26.7,9
roselle,6.4,0
drumstick leaves raw,1.7,0
scallop squash raw,5,3.1
chicory roots,15.8,7.9
brussels sprouts raw,1.7,0.4
kale cooked,6.3,1.4
pupusas con frijoles,39.7,1.6
mustard cabbage,7.2,1.8
gourd raw,4.1,1.9
butternut squash cooked,21,3.9
burdock root cooked,35.1,5.9
cassava,78.4,3.5
peas carrots cooked,16.2,7
romaine lettuce,1.5,0.6
yam raw,41.8,0.8
chowchow pickles,65.3,58.5
prairie turnips raw,4.5,0.1
savoy cabbage raw,4.3,1.6
celery raw,1.2,0.5
celeriac cooked,9.1,0
mustard spinach raw,5.9,0
zucchini raw,8.1,6.5
okra cooked,7.2,3.8
white icicle radish,2.6,0
orange tomato,3.5,0
pumpkin leaves raw,0.9,0
spaghetti squash cooked,10,3.9
white corn cooked,22.4,8
artichoke cooked,14.3,1.2
avocado,23,1.8
string beans wellsley farms,1.7,0.3
lambs quarters cooked,9,1.1
peas cooked,25,9.5
beets cooked,5,4
shallots dried,0.7,0.3
green lettuce,4.3,1.2
kohlrabi cooked,11,4.6
kanpyo dried,35.1,0
prairie turnips boiled,4.2,0.7
broccoli raab cooked,2.7,0.5
summer squash cooked,9.9,6.4
taro cooked,45.7,0.6
spring onion scallions,1.5,0.5
hubbard squash cooked,12.3,5.6
jalapeno pepper,0.9,0.6
new zealand spinach cooked,3.8,0.5
sesbania flower raw,0.2,0
spirulina dried,1.7,0.2
chinese cabbage pe tsai cooked,2.9,0
zucchini cooked,4.8,3.1
green olives pickled,0.1,0.051
lotus root raw,19.8,0
grape leaves,2.4,0.9
dill pickled cucumber,3.7,1.9
skunk cabbage,1.8,0
banana pepper,1.8,0.6
oriental radish raw,13.9,8.5
purslane cooked,4.1,0
rhubarb raw,2.3,0.6
swamp cabbage,3.6,0
mung bean sprouts raw,1.2,0.8
onion cooked,1.5,0.7
swiss chard raw,1.3,0.4
peas raw,21,8.2
cabbage cooked,8.3,4.2
taro leaves cooked,5.6,0
leeks cooked,9.4,2.6
split peas cooked,40.2,5.7
sweet corn yellow,14.2,2.6
asparagus raw,0.5,0.2
collard cooked,10.7,0
swiss chard cooked,7.2,1.9
nopales cooked,4.9,1.7
tahitian taro cooked,9.4,0
chinese cabbage pak choi raw,1.5,0.8
green chili pepper,4.3,2.3
mountain yam raw,22.2,0.4
parsnips cooked,27.2,7.7
tomato stewed,16.1,0
sweet green peppers cooked,4.5,2.3
white corn raw,31.6,5.3
rutabaga raw,66.5,34.4
jalapeno peppers canned,6.4,2.9
pumpkin canned,19.8,8.1
peas onions canned,10.3,0
sweet mashed potato canned,59.1,13.9
hominy canned,23.5,3
tomato puree canned,22.5,12.1
dried tomatoes canned in oil,0.7,0
mixed vegetables canned,17.5,0
straw mushrooms canned,0.3,0
capers canned,0.4,0.011
red peppers canned,3.7,2.4
carrots canned,24.4,11.2
tomatoes in tomato juice canned,9.6,5.7
asparagus canned,10.2,4.1
sweet red peppers canned,5.5,0
onions canned,2.5,1.4
turnip greens canned,4,0.6
hearts of palm,1.5,0
spinach canned,6.8,0
sweet potato canned,133.5,98.3
corn canned,11.1,3.3
peas carrots canned,21.6,7.2
crookneck squash canned,6.2,2.5
tomatoes canned,17.6,10.6
pimento canned,9.8,5.2
sweet green peppers canned,5.5,0
peas canned,9.5,0
chili peppers canned,6.4,0
green peppers canned,3.7,2.3
grape leaves canned,3.3,0
sauerkraut canned,6.1,2.5
beets canned,16.2,13.2
stewed tomatoes canned,15.8,9
tomato paste canned,49.5,31.9
bacon ranch salad mcdonalds,19.4,4.9
caesar salad with grilled chicken mcdonalds,11.3,4.8
caesar salad mcdonalds,9.1,4.4
vegetable salad,4.4,0
vegetable salad with chicken,2.5,0
potato salad,27.9,0
taco salad taco bell,80.5,0
iceberg lettuce,1.7,1.1
cornsalad,2,0
potato salad with egg,40.5,12.4
side salad mcdonalds,3.7,1.9
caesar salad with crispy chicken mcdonalds,19.2,4.5
grape apple salad with walnuts,25.6,20.3
vegetable salad with cheese egg,3.2,0
celtuce,0.3,0
arugula,0.7,0.4
vegetable salad with shrimp,4.4,0
coleslaw,28.4,23.3
shiitake mushrooms cooked,2.6,0.7
shiitake mushrooms raw,1.3,0.5
crimini mushrooms,0.3,0.1
mushrooms raw,2.3,1.4
portabella mushrooms grilled,5.4,2.7
maitake mushrooms,0.072,0.043
shiitake mushrooms dried,2.7,0.046
chanterelle mushrooms,0.4,0.076
cloud ear fungus dried,20.4,0
mushrooms cooked,8.3,3.7
pepeao dried,19.4,0
truffles,5.4,4.6
jews ear,6.7,0
enoki mushrooms,0.2,0.034
morel mushrooms,0.7,0.096
portabella mushrooms raw,3.3,2.2
oyster mushroom,0.9,0.2
