food,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats
cream cheese,5,2.9,1.3,0.2
neufchatel cheese,19.4,10.9,4.9,0.8
requeijao cremoso light catupiry,3.6,2.3,0.9,0
ricotta cheese,2,1.3,0.5,0.002
cream cheese low fat,2.3,1.4,0.6,0.042
cream cheese fat free,0.2,0.1,0.091,0.075
gruyere cheese,9.1,5.3,2.8,0.5
cheddar cheese,9.3,5.3,2.6,0.3
parmesan cheese,4.5,2.7,1.4,0.1
romano cheese,1.3,0.9,0.4,0.035
parmesan cheese grated,1.4,0.8,0.4,0.036
port salut cheese,37.2,22,12.3,1
swiss cheese,7.7,4.6,2,0.3
goat cheese hard,10.1,7,2.3,0.2
gouda cheese,7.7,4.9,2.2,0.2
pepper jack cheese lucerne,6,4,0,0
caraway cheese,8.3,5.3,2.3,0.2
gjetost cheese,67,43.5,17.9,2.1
tilsit cheese,10.4,6.7,2.9,0.3
goat cheese,8.4,5.8,1.9,0.2
brick cheese,8.9,5.6,2.6,0.2
asadero cheese,31.9,20.3,9.1,1
camembert cheese,7.3,4.6,2.1,0.2
provolone cheese reduced fat,19.9,12.8,5.5,0.6
roquefort cheese,26,16.4,7.2,1.1
queso blanco cheese,28.7,16.1,7.6,1.4
queso seco cheese,23.6,13.3,6.2,1.2
goat cheese soft,6,4.1,1.4,0.1
mozzarella cheese,6.6,4.2,2,0.2
chihuahua cheese,39.2,24.9,11.1,1.2
limburger cheese,8.2,5,2.6,0.1
muenster cheese,39.7,25.2,11.5,0.9
queso fresco cheese,29.1,15.8,7.3,1.3
brie cheese,8.3,5.2,2.4,0.2
pimento cheese,43.7,27.5,12.5,1.4
mexican cheese,21.7,13,5.6,0.8
feta cheese,6.4,4,1.4,0.2
mozzarella cheese fat free,0,0,0,0
provolone cheese,35.1,22.5,9.8,1
anejo cheese,39.6,25.1,11.3,1.2
honey,0,0,0,0
apple butter,0.063,0.038,0.066,0.064
fruit jam,0.095,0.021,0.065,0
chocolate hazelnut spread,5.5,5.3,0,0
peanut butter,7.4,1.4,3.1,1.7
peanut spread,8.5,1.6,4.2,2.5
chicken spread,9.8,1.8,2.7,1.3
cheese spread,68.6,43.2,19.4,2.5
tahini,7.2,1,2.7,3.2
orange marmalade,0,0,0,0
american cheese spread,3.4,2.1,1,0.062
apricot jam,0.01,0.042,0,0
chunky peanut butter,8,1.2,3.7,2.2
ham and cheese spread,2.8,1.3,1.1,0.2
chicken and rice casserole homade,1,0,0,0
picnic loaf,4.7,1.7,2.2,0.5
corn tamale,12,4.4,4,2.6
baked potato with cheese sauce bacon,25.9,10.1,9.7,4.8
chinese egg roll,10.6,1.9,2.7,5
butter croissant,12,6.6,3.1,0.6
enchilada with cheese beef,17.6,9,6.1,1.4
corned beef hash with potatoes,24.2,10.2,12.4,0.7
biscuit with egg cheese bacon,25.3,8.5,11.7,2.8
bagel with ham egg cheese,18.5,7.9,5.7,3.3
quesadilla with chicken,27.5,11.1,6.8,7.4
corn rice,0.3,0.02,0,0.1
kung pao chicken,42.2,8.2,13.1,18.2
beef empanada,16.3,4.6,6.3,3.8
frijoles with cheese,7.8,4.1,2.6,0.7
burrito with beef,8.1,1.7,1.7,4
crispy chicken sandwich,17.6,3.3,4,8.4
enchilada with cheese,25.3,11.5,6.4,3.8
pork egg roll,6.1,1.3,2,2.1
corn on the cob with butter,3.4,1.6,1,0.6
pancakes with butter syrup,7,2.9,2.6,1
burrito with beans,6.7,3.4,2.4,0.6
scrambled eggs,7.6,2.9,2.8,0.9
baked potato with sour cream,22.3,10,7.9,3.3
turkey and gravy,6.3,2,2.3,1.1
chicken egg roll,3.6,0.8,1.1,1.5
vegetable egg roll,3.6,0.6,1,1.7
ham cheese roll,5.2,2,2.4,0.6
biscuit with ham,18.4,11.4,4.8,1
lemon chicken,74.9,12.2,16.4,36.7
hummus,21.1,2.8,12,5.2
croissant with egg cheese,24.7,14.1,7.5,1.4
enchirito with cheese beef beans,16.1,7.9,6.5,0.3
sweet sour pork,2.2,0.4,0.5,1
crab cake,10.4,2.2,4.3,3.1
egg dinner roll,2.2,0.6,1,0.4
english muffin with egg cheese sausage,29.9,11.4,11.2,4.6
buttermilk pancakes,3.5,0.7,0.9,1.7
omelet,7.1,2,3,1.7
taco with chicken cheese lettuce,6.2,2.5,1.6,1.6
spinach souffle,17.6,10.1,5,1
english muffin with cheese sausage,22.3,8.8,8.5,3.4
potato gratin,18.6,11.6,5.3,0.7
biscuit with egg,25.3,8.5,11.7,2.8
french fries deep fried,10.5,1.7,4.2,3.8
sweet sour chicken,2.3,0.4,0.5,1.2
burrito with beans beef,18,7,7.8,1.4
nachos with cinnamon sugar,36,18.2,11.8,4.1
arroz con grandules,5.7,0.9,1.2,2.7
chili con carne,8.8,3.2,3.6,1
arroz con abichuelas,5.4,0.8,1.1,2.5
biscuit with sausage,27.1,8.2,13.5,3.4
vegetarian stew,7.4,1.2,1.8,3.8
chicken sandwich with cheese,38.8,12.4,13.7,9.9
biscuit with egg steak,28.4,8.6,11.7,5.8
taco salad,11.2,5.2,3.9,1.3
succotash,1.5,0.3,0.3,0.7
nachos with cheese jalapeno peppers,34.1,14,14.4,4
biscuit with egg ham,27,5.9,11,7.7
ladyfingers,2.6,0.9,1.1,0.4
mozzarella steak fried,5.9,2.2,1.5,1.6
tamale navajo,11.4,4.5,5.1,1.3
blueberry pancakes,3.5,0.8,0.9,1.6
chimichanga with beef cheese,23.4,11.2,9.4,0.7
egg cheese sandwich,19.4,6.6,8.3,2.6
biscuit with egg bacon,31.1,8,13.4,7.5
pupusas con queso,15.5,7.6,4,1.8
apple croissant,5,2.8,1.4,0.4
refried red beans,16.1,2.2,3.9,10.2
tostada with guacamole,11.6,4.9,4.2,1.5
chicken sandwich,20.9,4,8.4,5.9
fried rice,3.2,0.7,0.8,1.3
pupusas del cerdo,12.7,3.9,4.8,2.7
turkey pot pie,34.9,11.4,13.7,5.5
cheese croissant,16.7,8.5,5.2,1.9
chimichanga with beef,19.7,8.5,8.1,1.1
french toast with butter,9.4,3.9,3.5,1.2
ham egg cheese sandwich,16.3,7.4,5.7,1.7
english muffin with butter,5.8,2.4,1.5,1.3
savoury noodle one pan dinner tandaco,1.2,0.5,32.9,3.6
ham cheese sandwich,15.5,6.4,6.7,1.4
sweet gefilte fish,0.7,0.2,0.3,0.1
poached egg,4.7,1.6,1.8,1
tostada with beef cheese,16.3,10.4,3.3,1
tostada with beans cheese,9.9,5.4,3.1,0.7
pork tamale,12.8,3.8,4.6,2.9
nachos with cheese,17.2,1.7,11.2,4
pulled pork in barbecue sauce,11,3.5,4.5,1.9
baked potato with cheese sauce,28.7,10.6,10.7,6
baked beans,10.3,3.9,4.3,1.5
arroz con frijoles,5.6,1.1,1.3,2.3
taco with beef cheese lettuce,8.8,3,3,2.1
burrito with beans cheese beef,6.6,3.6,2.2,0.5
egg mix,2.2,0.8,0.8,0.4
falafel,3,0.4,1.7,0.7
taco salad with chili con carne,8.8,4,3,1
wonton wrappers,0.5,0.022,0.033,0.2
hushpuppies,20.5,3.2,5,11
chicken pot pie,34.6,12.6,11.9,8.3
general tsos chicken,87.5,14.8,20.8,40.1
burrito with beans cheese,11.2,4.3,2.3,4.1
vegetarian fillets,15.3,2.4,3.7,7.9
biscuit with egg sausage,33.6,10.4,16.2,4.8
chicken chow mein,16.9,3,3.7,7.4
fruit burrito,9.5,4.6,3.4,1.1
arroz con leche,9.3,4.8,2.6,1.1
caramel custard flan,12.3,5.5,3.9,1.2
gelatin dessert,0,0,0,0
chocolate milk dessert,1.4,0.8,0.5,0.084
chocolate mousse,24,13.7,7.5,1.3
dulce de leche,1.4,0.9,0.4,0.063
apple crisp,9.7,1.9,3.8,3.2
spinach spaghetti cooked,0.9,0.1,0.1,0.4
corn pasta cooked,1,0.1,0.3,0.5
spaghetti with meat sauce,2.9,1,0.9,0.9
pasta with meatballs in tomato sauce,13,5,5.7,0.9
cheese tortellini,7.8,3.9,2.2,0.5
pasta with sliced franks in tomato sauce,6,2.5,2.5,1
lasagna,6.1,2.9,2.2,0.5
macaroni cheese,9.4,3.1,4.2,2
vegetable lasagna,13.7,5.5,3.3,2.6
spinach egg noodles cooked,2.5,0.6,0.8,0.6
cheese lasagna,13,5.1,3.8,2.5
pasta with tomato sauce,1.8,0.4,0.3,0.5
spinach pasta cooked,0.3,0.078,0.073,0.043
vegetable chicken soup,4.8,1.4,2.2,1
bean ham soup,2.5,0.6,1,0.7
cream of chicken soup,14.5,4.3,5.2,2.7
tomato soup canned,3.3,1.8,0.8,0.3
egg drop soup,1.5,0.4,0.5,0.3
scotch broth,6.4,2.7,1.9,1.3
cream of onion soup,12.8,3.6,5.1,3.5
chicken broth dry,0.2,0.055,0.013,0.069
vegetable soup with beef broth,3.8,0.9,1.1,1.6
chili with beans canned,14.1,6,6,0.9
beef noodle soup,6.2,2.3,2.5,1
consomme dry,0.2,0,0,0
chicken mushroom soup,6.1,1.6,2.7,1.5
beef vegetable soup,2.9,1,0.7,0.9
black bean soup,3.4,0.9,1.2,1.1
split pea soup with ham bacon,3.1,0.9,1.2,0.6
cream of mushroom soup,13.4,2.4,3.1,7.3
green pea soup,5.7,2.7,1.9,0.7
chicken broth soup,2.6,0.8,1.2,0.6
chicken mushroom chowder soup,23.7,6.2,4.5,9.4
chicken dumplings soup,13.4,3.2,6.1,3.2
chicken vegetable soup,5.6,1.7,2.5,1.2
turkey vegetable soup,3,0.9,1.3,0.7
wonton soup,0.6,0.1,0.2,0.2
beef stock,0.2,0.003,0.1,0.005
mushroom barley soup,5.5,1.1,2.4,1.7
gazpacho soup,0.4,0.008,0.059,0.1
beef mushroom soup,7.3,3.7,3.1,0.3
chicken rice soup,3.2,1,1.4,0.7
pepperpot soup,4.5,2,2,0.3
vegetable soup,4,0.6,1.7,1.5
chili beef soup,6.7,3.3,2.7,0.2
chicken soup,6.5,1.9,2.9,1.3
bean with frankfurters soup,7,2.1,2.7,1.7
pea soup,2.8,1.4,1,0.4
turkey soup,4.4,1.2,1.8,1.1
stockpot soup,7.8,1.7,2,3.5
hot sour soup,2.8,0.5,0.7,0.7
cheese soup,9.7,6.1,2.7,0.3
cream of potato soup,4.7,2.4,1.1,0.8
bean with bacon soup,2.1,1,0.9,0.2
fish stock,1.9,0.5,0.5,0.3
split pea soup with ham,8.9,3.5,3.6,1.3
beef broth soup,0.5,0.3,0.2,0.049
lentil soup with ham,2.8,1.1,1.3,0.3
tomato soup,0.7,0.2,0.2,0.2
fish broth,1.5,0.3,0.3,0.6
chili without beans canned,17,5.4,5.9,1.1
minestrone soup,5,1.1,1.4,2.2
clam chowder soup,4.4,0.8,0.8,2.6
tomato vegetable soup,0.8,0.4,0.3,0.054
cream of rice coup,0.2,0.07,0.071,0.032
cream of celery soup,11.2,2.8,2.6,5
chicken gravy,13.6,3.4,6.1,3.6
tomato rice soup,5.5,1,1.2,2.7
vegetable beef soup,2,0.6,0.7,0.3
tomato beef noodle soup,8.6,3.2,3.5,1.4
oyster stew soup,7.7,5,1.8,0.3
ramen noodle soup dry,13.3,6.4,5.6,1.2
chicken noodle soup,4.7,1.2,1.6,1
chicken bouillon dry,0.6,0.1,0.2,0.2
cream of asparagus soup,8.2,2.1,1.9,3.7
turkey noodle soup,4,1.1,1.6,1
cream of shrimp soup,10.4,6.5,3,0.4
bean with pork soup,11.5,3,4.2,3.5
chicken broth,0.5,0.008,0.1,0.042
beef broth powder,0.3,0.2,0.1,0.04
split pea soup,2.3,0.8,0.9,0.4
escarole soup,4,1.2,1.8,0.8
chicken stock,2.9,0.8,1.4,0.5
tomato bisque soup,5,1.1,1.4,2.2
shark fin soup,4.3,1.1,1.3,0.7
onion soup,3.5,0.5,1.5,1.3
chicken gumbo soup,2.9,0.7,1.3,0.7
crab soup,0.8,0.2,0.2,0.3
tripe soup,5.2,2.1,2.2,0.6
little india little lunch,10.6,15.6,12.2,1.4
original chicken sandwich chick fil a,5.1,11.6,7.9,0.6
sausage mcmuffin mcdonalds,24.2,8.3,8.9,3.7
sausage mcgriddles mcdonalds,24,7.3,10.2,3.5
crispy chicken drumstick kentucky fried chicken,3,0.8,1.2,0.8
chicken crispy drumsticks kentucky fried chicken,10.1,2.2,3.4,3.6
biscuit kentucky fried chicken,9.1,2.2,6.1,0.6
english muffin mcdonalds,2.3,1.1,15.4,1.1
french fries mcdonalds,18.1,2.7,8.6,5.5
hotdog,23,8.1,10.8,2.7
french fries burger king,9.2,1.6,2.4,4.4
original taco with beef cheese lettuce taco bell,8.8,3,3,2.1
hotdog with chili,13.4,4.9,6.6,1.2
chicken crispy wings kentucky fried chicken,10.1,2.1,3.3,3.8
egg white delight mcdonalds,16,4,18,4
french toast sticks burger king,3.7,0.8,2,0.5
mcchicken mcdonalds,17.3,3.1,5.8,6.5
nachos supreme taco bell,26.6,7.8,13.7,2.8
crispy chicken wing kentucky fried chicken,5.3,1.1,1.7,1.8
chicken strips burger king,5.5,1,1.5,2.7
crispy chicken breast kentucky fried chicken,6.7,1.7,2.4,2.3
sausage biscuit mcdonalds,29.7,12.5,10.3,4
sausage burrito mcdonalds,17.1,6.1,6.5,2.4
onion rings fried,1.6,0.3,0.4,0.8
onion rings burger king,23,3.8,6.3,11.1
turkey patty fried,5,1.3,2.1,1.3
hotcakes with syrup mcdonalds,17.8,1.8,1.9,4.6
crispy chicken thigh kentucky fried chicken,9.1,2.5,3.8,2.1
corn dog,9.4,2.7,3.7,2.6
chicken box mcdonalds,4,0.8,2.8,0.011
potato wedges kentucky fried chicken,19.8,4,11.9,2.4
scrambled eggs mcdonalds,7.5,2.1,2.7,1.1
egg mcmuffin mcdonalds,12.2,4.5,3.4,2.2
nachos taco bell,21.9,4.7,12.6,2.6
biscuit large mcdonalds,14.4,8.3,3.4,2
crispy chicken strips kentucky fried chicken,7.2,1.4,2,3.2
hotcakes mcdonalds,2.9,0.6,0.6,1.5
chicken crispy breast kentucky fried chicken,23.2,5,7.6,8.8
hotcakes sausage mcdonalds,34.9,7.3,9,6.5
chicken mcnuggets mcdonalds,3.2,0.5,1.3,0.9
chips chipotle,7.1,0.9,19.3,1.1
biscuit mcdonalds,12.2,7,2.8,1.7
rice bowl with chicken,0.4,0.01,0.1,0.1
spaghetti with meatballs,8.2,2.9,3.3,1.1
meat ravioli canned,8.9,3.7,4.2,0.6
cheese ravioli canned,3.5,1.7,1,0.4
premium crispy chicken ranch blt sandwich mcdonalds,22.9,4.7,9.1,7.8
steak sandwich,14.1,3.8,5.3,3.3
cheeseburger burger king,19.7,9.1,7.6,2
cheeseburger mcdonalds,14,5.3,4.3,0.4
double cheeseburger,36.9,15.9,13.7,3
double hamburger,58.6,21.6,22.9,11.3
premium grilled chicken classic sandwich mcdonalds,8.6,1.7,2.3,4.1
big n tasty with cheese mcdonalds,36,10.8,10.7,7.1
premium grilled chicken club sandwich mcdonalds,18,6.4,5.6,4.8
quarter pounder mcdonalds,19.8,6.9,7.2,0.5
premium crispy chicken classic sandwich mcdonalds,20,3.2,7.3,8.5
veggie burger,4.4,1,1.2,1.4
quarter pounder with cheese mcdonalds,28.3,11.2,9.2,0.9
beef sandwich steak raw,15.1,6.5,6.2,0.3
cheeseburger,13.2,6,5.1,1.4
premium grilled chicken ranch blt sandwich mcdonalds,10.9,3,3.8,3.4
double whopper with cheese burger king,68.1,27.9,25.1,11.9
big mac mcdonalds,32.8,8.3,7.6,0.7
sandwich with cold cuts,39.3,13.9,14.5,7.5
filet o fish mcdonalds,19.6,3.8,5.4,8
hand breaded chicken tenders carls jr,2.9,0.6,2.9,5.5
grilled chicken sandwich wendys,8,42,34,0
sandwich with roast beef,13,7.1,1.8,2.6
hamburger burger king,10.4,3.8,4.2,1.2
big n tasty mcdonalds,31.7,8.6,9.7,6.9
roast beef sandwich,15.3,5.1,5.9,2.6
roast beef sandwich with cheese,18,9,3.7,3.5
hamburger,9.9,3.5,3.7,1.3
premium fish sandwich burger king,27.4,4.3,5.7,13.8
whopper burger king,48.4,18.3,16,12
sandwich with tuna salad,28,5.3,13.4,7.3
original chicken sandwich burger king,29.2,5.4,7.4,14.4
double whopper burger king,58.6,21.6,22.9,11.3
premium crispy chicken club sandwich mcdonalds,29.9,8.5,10.7,9
hamburger mcdonalds,9.6,3.3,3.6,1.3
pepperoni pizza dominos,12.6,5.4,3.8,2.4
sausage pizza,14.3,5.8,4.7,2.7
pepperoni pizza,13.2,5.7,4.3,2.3
pepperoni pizza pizza hut,10.9,5,3.9,2
cheese pizza pizza hut,10.5,4.8,2.8,1.8
cheese pizza,10.4,4.8,2.8,1.8
cheese pizza dominos,9.7,4.4,2.3,2
meat vegetable pizza,14.8,6,5.2,2.6
sucker raw,3.7,0.7,1.1,1.3
northern pike raw,2.7,0.5,0.6,0.8
haddock cooked,0.8,0.2,0.1,0.3
burbot cooked,0.9,0.2,0.2,0.3
pollock cooked,3.8,0.5,0.4,1.9
rainbow smelt raw,0.7,0.1,0.2,0.3
whitefish cooked,11.6,1.8,3.9,4.2
walleye pike raw,1.9,0.4,0.5,0.7
carp cooked,12.2,2.4,5.1,3.1
wolffish cooked,7.3,1.1,2.6,2.6
snapper cooked,2.9,0.6,0.5,1
roe cooked,2.3,0.5,0.6,1
anchovy raw,1.4,0.4,0.3,0.5
herring raw,16.6,3.8,6.9,3.9
cod raw,1.5,0.3,0.2,0.5
tilapia raw,2,0.7,0.6,0.4
whiting cooked,1.2,0.3,0.3,0.4
skipjack tuna cooked,4,1.3,0.7,1.2
salmon cooked,44,8.5,14.9,16.2
chum salmon cooked,14.9,3.3,6.1,3.5
american shad cooked,25.4,0,0,0
shark cooked,3.9,0.9,1.7,1
trout cooked,5.3,0.9,2.6,1.2
swordfish raw,9,2.2,4,1.6
rainbow trout cooked,5.2,1.2,1.7,1.3
fish sandwich with cheese,19.6,3.8,5.4,8
jellyfish dried,0.8,0.2,0.1,0.3
mullet raw,4.5,1.3,1.3,0.9
halibut cooked,5.1,1.1,1.8,1.1
lingcod raw,2.7,0.5,0.9,0.8
orange roughy cooked,0.3,0.046,0.1,0.076
cisco raw,1.5,0.3,0.4,0.5
florida pompano cooked,10.7,4,2.9,1.3
snapper raw,2.9,0.6,0.5,1
fish sandwich,27.4,4.3,5.7,13.8
haddock raw,0.9,0.2,0.1,0.3
ocean perch raw,1,0.2,0.3,0.2
cuttlefish cooked,0.4,0.08,0.061,0.061
cod cooked,1.5,0.3,0.2,0.5
seatrout raw,8.6,2.4,2.1,1.7
flounder raw,3.1,0.7,0.9,0.6
spot cooked,3.1,0.9,0.9,0.7
walleye pike cooked,1.9,0.4,0.5,0.7
perch raw,0.6,0.1,0.081,0.2
pumpkin seed sunfish raw,0.3,0.051,0.016,0.1
salt mackerel,34.1,9.7,11.3,8.4
mackerel cooked,15.7,3.7,6.2,3.8
tilapia cooked,2.3,0.8,0.8,0.5
drum raw,9.8,2.2,4.3,2.3
atlantic croaker fried,11,3,4.6,2.5
pumpkin seed sunfish cooked,0.3,0.025,0.083,0.1
wolffish raw,7.3,1.1,2.6,2.6
bluefin tuna cooked,9.4,2.4,3.1,2.8
scup cooked,1.8,0,0,0
herring cooked,16.6,3.7,6.8,3.9
bluefish raw,6.4,1.4,2.7,1.6
sheepshead cooked,3,0.7,0.7,0.7
bass cooked,2.9,0.6,1.1,0.8
pout cooked,3.2,1.1,1.2,0.1
chinook salmon raw,41.3,12.3,17.4,11.1
rockfish raw,2.6,0.7,0.7,0.8
tilefish raw,8.9,1.7,2.2,2.3
scup raw,4.5,1.1,0.9,1.7
sablefish cooked,59.3,12.4,31.2,7.9
tuna salad,19,3.2,5.9,8.5
coho salmon cooked,11.8,2.8,5.2,2.8
roe raw,0.9,0.2,0.2,0.4
sea bass raw,2.6,0.7,0.5,1
pink salmon cooked,12,2.2,3.7,2.2
sockeye salmon cooked,17.3,3,5.8,4.1
whitefish raw,11.6,1.8,4,4.3
greenland halibut cooked,56.4,9.9,34.2,5.6
northern pike cooked,2.7,0.5,0.6,0.8
salmon raw,53.1,12.1,14.9,15.4
turbot cooked,12,0,0,0
surimi,0.3,0.059,0.043,0.1
chinook salmon cooked,41.2,9.9,17.7,8.2
mullet cooked,4.5,1.3,1.3,0.9
chum salmon raw,0.1,0.08,0.035,0.037
butterfish raw,2.6,1.1,1.1,0.2
sea bass cooked,2.6,0.7,0.5,1
greenland halibut raw,56.5,9.9,34.2,5.6
halibut raw,5.4,1.2,1.9,1.2
sturgeon cooked,7,1.6,3.4,1.2
fish fillet fried,11.2,2.6,2.3,5.7
rainbow trout raw,4.9,1.1,1.6,1.2
pout raw,3.2,1.1,1.2,0.1
rainbow smelt cooked,0.9,0.2,0.2,0.3
monkfish raw,0.4,0.079,0.074,0.2
trout raw,5.2,0.9,2.6,1.2
shark raw,1.3,0.3,0.5,0.3
burbot raw,0.9,0.2,0.2,0.3
dolphinfish cooked,1.4,0.4,0.2,0.3
crayfish cooked,0.4,0.089,0.022,0.1
dolphinfish raw,1.4,0.4,0.2,0.3
perch cooked,0.5,0.1,0.029,0.2
cusk raw,0.8,0.2,0.1,0.3
bluefin tuna raw,1.4,0.4,0.5,0.4
milkfish cooked,2.4,0,0,0
carp raw,12.2,2.4,5.1,3.1
sturgeon raw,1.1,0.3,0.5,0.2
orange roughy raw,0.2,0.057,0.051,0.086
catfish fried,11.6,2.9,4.9,2.9
cuttlefish raw,0.2,0.002,0.088,0.069
bass raw,2.9,0.6,1.1,0.8
flounder cooked,3,0.7,0.8,0.6
milkfish raw,1.9,0.5,0.7,0.5
eel raw,23.8,4.8,14.7,1.9
catfish raw,9.4,2.1,4.1,1.8
fish sticks,4.5,1,0.9,2.2
coho salmon raw,12.2,2.9,5.3,3
monkfish cooked,0.6,0,0,0
yellowtail cooked,19.6,0,0,0
yellowfin tuna cooked,0.2,0.054,0.095,0.038
ling cooked,1.2,0,0,0
eel cooked,4.2,0.9,2.6,0.3
sablefish raw,59.1,12.4,31.1,7.9
