food,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats
potato chips cheese,46.2,14.6,13.1,16.3
yuca cassava chips,0.4,0.1,0.1,0.1
tortilla chips low fat,1.6,0.2,0.5,0.8
ranch flavor tortilla chips,48.8,7,14,26.8
potato chips,10.4,3.3,3,3.7
tortilla chips,6.2,0.8,1.7,3.2
sweet potato chips,9.1,0.8,2.6,3.4
nacho cheese tortilla chips,8.2,1.2,2.7,3.7
vegetable chips,6.6,0.5,4.1,1.9
taco flavor tortilla chips,54.9,10.5,32.4,7.6
potato chips barbecue,64.2,15.9,12.9,32.4
pita chips,4.6,0.4,3.3,0.6
potato chips sour cream and onion,67.1,17.6,12.1,34.5
adobo fresco,60.2,8.4,43.1,5.9
chili pepper sauce red,0.089,0.073,0.096,0.071
creamy ranch sauce mcdonalds,14.7,2.2,3.1,8
catsup,0.066,0.026,0.051,0.065
chili pepper sauce green,0.032,0.048,0.037,0.016
red wine vinegar,0,0,0,0
fish sauce,0.013,0.08,0,0.039
coleslaw dressing reduced fat,3.4,0.5,1.5,1.3
sour dressing,2,1.6,0.2,0.035
guava sauce cooked,0.3,0.014,0.068,0.1
pizza sauce,2.9,1.2,1.2,0.2
sweetn sour sauce mcdonalds,0.3,0.075,0.091,0.1
nance syrup,0.002,0,0,0
french dressing reduced fat,2.2,0.2,0.9,0.8
peppercorn dressing,8.2,1.4,2,4.4
sorghum syrup,0,0,0,0
ranch dressing fat free,0.3,0.007,0.072,0.092
caesar dressing low calorie,0.7,0.1,0.2,0.4
sweet sour dressing,0,0,0,0
mayonnaise imitation fat free,0.4,0.005,0.3,0.031
sofrito,37.5,0,0,0
turkey gravy instant,1,0.3,0.4,0.3
teriyaki sauce,0.015,0,0,0
tomato sauce,0.7,0.1,0.1,0.3
barbecue sauce kraft,0.053,0.013,0.095,0.005
cranberry sauce sweetened,0.4,0.056,0.057,0.2
coleslaw dressing,5.3,0.8,1.4,2.9
onion gravy dry,0.7,0.4,0.2,0.024
corn syrup light,0.09,0,0,0
bacon tomato dressing,5.3,0.8,1.3,2.9
pancake syrup,0.075,0.025,0.094,0.042
balsamic vinegar,0,0,0,0
ranch dressing reduced fat,1.9,0.2,0.4,0.6
barbecue sauce mcdonalds,0.3,0.09,0.069,0.1
vinegar oil dressing,8,1.5,2.4,3.9
poppyseed dressing,5.5,1,1.4,2.9
honey mustard dressing,6.1,0.8,1.7,3.4
french dressing fat free,0.024,0.067,0.088,0.097
vinegar,0,0,0,0
spray dressing,0.9,0.1,0,0
honey mustard dressing fat free,0.2,0.031,0.1,0.056
mushroom gravy,6.4,1,2.8,2.4
white sauce,26.6,7.1,11.1,7.2
marinara pasta sauce,3.9,0.4,1,1.3
tomato sauce with mushrooms,0.3,0.027,0.025,0.1
pork gravy powder,0.6,0.3,0.3,0.007
beef gravy,5.5,2.7,2.2,0.2
green goddess dressing,6.5,0.9,1.4,3.5
salsa con queso,23.8,6.2,6.9,9.1
cocktail sauce,0.2,0,0,0
worcestershire sauce,0,0,0,0
barbecue sauce,0.1,0.009,0.047,0.064
tomato sauce with onions,0.5,0.007,0.047,0.2
brown gravy dry,0.6,0.2,0.3,0.061
blue cheese dressing light,0.4,0.1,0.2,0.1
spanish tomato sauce,0.7,0.007,0.016,0.3
oyster sauce,0.066,0.016,0.02,0.044
cheese sauce,2.2,1.2,0.7,0.2
hoisin sauce,0.5,0.036,0.2,0.3
pickle relish,0.061,0.093,0.083,0.036
tomato sauce with herbs cheese,4.7,1.5,0.9,2
french dressing,7.2,0.9,1.3,3.4
mayonnaise hellmanns,1.7,0.9,0.093,0.2
canadian maple syrup,0,0,0,0
maple syrup,0.047,0.036,0.014,0.085
barbecue sauce bulls eye,0.1,0.028,0.019,0.033
ranch dressing,6.7,1,1.4,3.9
tomato ketchup mp,0,4,4,0
mayonnaise light,3.3,0.5,0.8,1.9
mayonnaise dressing,11.7,1.6,2.7,6.8
malt syrup,0,0,0,0
gravy dry,2,0.7,0.8,0.4
cranberry orange relish,0.3,0.06,0,0
caesar dressing,8.5,1.3,2,4.8
italian dressing,3.1,0.4,0.8,1.6
brown gravy instant,0.8,0.4,0.4,0.049
roquefort cheese dressing,1.1,0.4,0.3,0.4
blue cheese dressing,7.7,1.2,2,4.1
duck sauce,0.063,0.033,0.065,0.04
au jus,0.5,0.2,0.2,0.048
corn syrup dark,0,0,0,0
buttermilk dressing light,1.9,0.2,0.4,0.6
cider vinegar,0,0,0,0
tartar sauce,2.5,0.5,0.5,1.4
pepper hot sauce,0.018,0.057,0.031,0.06
tomato chili sauce,0.095,0.076,0.097,0.064
turkey gravy dry,0.5,0.1,0.2,0.2
salsa sauce,0.039,0.07,0.048,0.089
steak sauce,0.004,0,0,0
molasses,0.068,0.052,0.021,0.068
italian dressing fat free,0.1,0.099,0.018,0.022
plum sauce,0.2,0.094,0.007,0.1
chow mein stir fry master foods,0.2,5.5,0.6,0
beef gravy instant,0.6,0.3,0.2,0.08
horseradish,0.085,0.007,0.005,0.029
grenadine,0,0,0,0
tabasco sauce,0.002,0.051,0.086,0.089
sweet sour sauce,0.084,0,0,0
salsa verde,0.1,0,0,0
miso,1.2,0.2,0.2,0.6
sprouted soybean cooked,4.2,0.6,0.9,2.4
soy flour roasted,18.6,2.7,4.1,10.5
soy flour low fat,7.8,1.1,1.3,3.7
green soybean cooked,5.8,0.7,1.1,2.7
azumaya tofu vitasoy,16.6,2,4.7,9.9
soy proteins isolate,1,0.1,0.2,0.5
tofu yogurt,4.7,0.7,1,2.7
bacon meatless,42.5,6.7,10.2,22.2
meatless chicken fried,16.6,1.5,4.2,6
soymilk,4.8,0.5,1,2.9
soy vermicelli,0.1,0.092,0.005,0.093
tofu fried,2.6,0.4,0.6,1.5
tempeh,17.9,3.7,5,6.4
koyadofu,5.2,0.7,1.1,2.9
meatless meatloaf,5,0.8,1.2,2.6
soya vanille joghurt alpro,0.6,0.1,2.7,2.6
soybean curd cheese,18.2,2.6,4,10.3
soy sauce,0.054,0.025,0.059,0.099
soybean dry roasted,20.1,2.9,4.4,11.4
soybean oil,13.6,2.1,3.1,7.9
meatless chicken,21.4,3.1,4.6,12.2
soybean cooked,15.4,2.2,3.4,8.7
soymilk nonfat,0.046,0,0,0.046
soy flour,1.1,0.2,0.2,0.6
soybean lecithin oil,13.6,2,1.5,6.2
tofu raw,11.9,1.7,2.6,6.7
soy chips,2.1,0.3,0.5,1.1
green soybean raw,17.4,2,3.3,8.2
soy proteins concentrate,0.1,0.04,0.092,0.099
soybean margarine,3.8,0.8,1.8,1
chocolate soymilk nonfat,0.046,0,0,0.012
okara,2.1,0.2,0.4,0.9
meatless meatballs,13,2.1,3.2,6.7
vanilla soymilk,4.3,0.5,1,2.3
soy meal raw,2.9,0.3,0.5,1.3
soymilk low fat,1.5,0,0.5,1
sprouted soybean raw,4.7,0.7,1.1,2.6
soybean raw,37.1,5.4,8.2,20.9
tempeh cooked,3.2,1,1.1,0.7
vanilla soymilk light,2.1,0.2,0.6,1.4
chocolate soymilk,3.7,0.6,0.9,2
soy oil,13.6,3.4,8.3,1.3
natto,8.8,1.3,1.9,5
chrysanthemum raw,0.3,0,0,0
gourd cooked,0.6,0.035,0.1,0.3
cauliflower raw,0.081,0.094,0.061,0.07
red cabbage raw,0.3,0.002,0.028,0.1
broccoli raab raw,0.2,0.047,0.027,0.097
napa cabbage cooked,0.2,0,0,0
kelp,0.067,0.037,0.064,0.044
shallots raw,0.061,0.041,0.015,0.074
bamboo shoots raw,0.5,0.1,0.054,0.2
jute cooked,0.2,0.004,0.022,0.022
red lettuce,0.08,0.036,0.056,0.024
broccoli cooked,1.1,0.2,0.1,0.5
romanesco raw,0.2,0.038,0.085,0.006
eggplant raw,0.8,0.2,0.047,0.3
leeks raw,0.3,0.049,0.076,0.1
lemongrass citronella,0.076,0.067,0.091,0.082
pumpkin cooked,0.2,0.019,0.1,0.085
celery cooked,0.098,0.064,0.018,0.024
serrano pepper,0.075,0.072,0.002,0.028
nopales raw,0.063,0.018,0.039,0.044
sweet potato leaves cooked,0.2,0.099,0.008,0.006
eggplant cooked,0.2,0.049,0.056,0.09
asparagus cooked,0.074,0.004,0,0.063
rutabaga cooked,0.4,0.007,0.037,0.2
parsnips raw,0.5,0.1,0.2,0.023
sour pickles,0.3,0.079,0.018,0.1
turnip greens cooked,0.3,0.091,0.065,0.1
jerusalem artichokes,0.047,0,0.065,0.036
collard raw,0.2,0.026,0.049,0.075
chrysanthemum cooked,0.036,0,0,0
oriental radish dried,0.8,0.3,0.1,0.4
tomatillos,1.3,0.2,0.2,0.6
taro shoots raw,0.069,0.016,0.071,0.042
acorn squash raw,0.4,0.091,0.086,0.2
leeks dried,0.026,0.08,0.055,0.031
cabbage raw,0.3,0.054,0.066,0.021
sweet red peppers cooked,0.1,0.012,0.094,0.087
sweet red peppers raw,0.4,0.088,0.016,0.1
cucumber peeled,0.2,0.1,0.068,0.087
purslane raw,0.2,0,0,0
peas onions cooked,0.4,0.055,0.049,0.2
tomato cooked,0.1,0.086,0.069,0.041
taro shoots cooked,0.1,0.068,0.003,0.037
scots kale raw,0.4,0.072,0.015,0.2
artichoke raw,0.2,0.056,0.019,0.01
navy bean sprouts raw,0.7,0.05,0.042,0.4
sweet pickles,0.7,0.1,0.021,0.2
oriental radish cooked,0.4,0.1,0.026,0.2
sweet potato leaves raw,0.2,0.088,0.045,0.049
irishmoss,0.049,0.06,0.096,0.091
drumstick leaves cooked,0.4,0,0,0
winter squash raw,0.2,0.019,0.089,0.086
pumpkin raw,0.1,0.065,0.044,0.004
chicory greens,0.096,0.078,0.06,0.018
spinach cooked,0.5,0.042,0.01,0.2
radish pickled,0.5,0.1,0.068,0.2
sweet onion,0.3,0,0,0
salsify cooked,0.2,0,0,0
radish seeds sprouted,1,0.3,0.2,0.4
turnips raw,0.2,0.074,0.098,0.04
burdock root raw,0.2,0.069,0.056,0.094
red cabbage cooked,0.2,0.058,0.001,0.095
jute raw,0.046,0,0.026,0.08
hot chile pepper dried,0.054,0.001,0.011,0.077
salsify raw,0.3,0,0,0
crookneck squash raw,0.3,0.1,0.057,0.1
indian squash cooked,0.4,0,0,0
poi,0.3,0.063,0.058,0.1
sesbania flower cooked,0.007,0,0,0
acorn squash cooked,0.3,0.023,0.072,0.1
cauliflower cooked,0.6,0.055,0.019,0.3
crookneck squash cooked,0.7,0.1,0.089,0.2
laver seaweed,0.012,0.066,0.045,0.052
mountain yam cooked,0.1,0.014,0.007,0.099
pumpkin flowers raw,0.084,0.049,0.099,0.05
mustard greens raw,0.2,0.072,0.071,0.035
arrowhead,0.084,0,0,0
japanese cabbage,0.2,0.092,0.081,0.092
mung bean sprouts cooked,0.1,0.05,0.007,0.062
scallop squash cooked,0.3,0.034,0.081,0.1
pumpkin leaves cooked,0.2,0.092,0.017,0.093
hungarian pepper,0.1,0.082,0.086,0.099
sweet potato baked,0.2,0.013,0.072,0.1
chinese cabbage pe tsai raw,0.2,0.033,0.087,0.004
taro raw,0.2,0.099,0.062,0.01
yam bean jicama,0.1,0.061,0.088,0.093
olives,0.9,0.2,0.6,0.043
mustard greens cooked,0.7,0.053,0.2,0.008
pumpkin flowers cooked,0.1,0.057,0.007,0.084
tree fern cooked,0.096,0,0,0
yellow corn raw,7.9,1.1,2.1,3.6
endive,0.1,0.022,0.044,0.072
wakame,0.5,0.1,0.002,0.2
tahitian taro raw,1.2,0.2,0.022,0.5
broccoli raw,0.3,0.053,0.028,0.015
sweet green peppers raw,0.3,0.053,0.043,0.037
chinese cabbage pak choi cooked,0.3,0.014,0.046,0.1
agar,0.058,0.087,0.01,0.028
watercress,0.006,0.071,0.027,0
beet greens cooked,0.3,0.025,0.067,0.1
winter squash cooked,0.7,0.1,0.083,0.3
new zealand spinach raw,0.1,0.077,0.078,0.043
okra,0.082,0.001,0.019,0.053
yautia tannier,0.5,0.1,0,0
mustard spinach cooked,0.4,0,0,0
rhubarb cooked,0.1,0.08,0.009,0.067
beets raw,0.2,0.028,0.032,0.067
drumstick pods raw,0.2,0.025,0.1,0.037
baby zucchini,0.089,0.02,0.047,0.006
onion raw,0.048,0.077,0.091,0.007
romanesco cooked,0.4,0.028,0.077,0.2
butternut squash raw,0.2,0.044,0.046,0.019
amaranth leaves,0.075,0.072,0.033,0.025
turnip greens raw,0.2,0.009,0.04,0.066
spaghetti squash raw,0.6,0.1,0.026,0.2
seaweed dry,0.3,0.006,0.076,0.2
yam cooked,0.2,0.061,0.018,0.059
corn dried,3,0.6,1.1,1.3
cucumber,0.2,0.068,0.044,0.041
arrowroot,0.2,0.094,0.083,0.1
cardoon raw,0.2,0.072,0.05,0.054
bamboo shoots cooked,0.3,0.007,0.059,0.1
summer squash raw,0.5,0.1,0.048,0.2
sweet potato raw,0.002,0.036,0.008,0.015
green tomato,0.4,0.024,0.018,0.1
beet greens raw,0.078,0.026,0.037,0.015
savoy cabbage cooked,0.2,0.076,0.023,0.003
witloof chicory,0.031,0.076,0.077,0.027
turnips cooked,0.1,0.082,0.089,0.076
dried tomatoes,0.053,0.032,0.032,0.086
radicchio,0.2,0.031,0.048,0.024
mixed vegetables cooked,0.3,0,0.09,0.1
yellow tomato,0.6,0.03,0.003,0.2
cardoon cooked,0.1,0.014,0.058,0.092
spinach raw,0.1,0.024,0.049,0.087
kale raw,0.3,0.057,0.014,0.1
drumstick pods cooked,0.2,0,0,0
kohlrabi raw,0.3,0.007,0.072,0.1
lentil sprouts,0.4,0.067,0.053,0.2
carrots raw,0.1,0.046,0.043,0.069
red chili peppers,0.2,0.088,0.05,0.1
fennel,0.5,0,0,0
sweet corn white,0.9,0.1,0.3,0.4
celeriac raw,0.5,0.1,0.052,0.2
hubbard squash raw,0.6,0.1,0.096,0.2
brussels sprouts cooked,0.1,0.099,0.044,0.062
carrots cooked,0.092,0.096,0.074,0.008
lambs quarters raw,0.067,0,0,0
lotus root cooked,0.056,0.029,0.092,0.016
split peas raw,2.3,0.3,0.5,1
scots kale cooked,0.5,0.014,0,0.3
corn cooked,1.5,0.2,0.4,0.6
radish raw,0.026,0.084,0.086,0.021
stinging nettles,0.007,0,0,0
baby carrots,0.053,0.015,0.043,0.002
sweet yellow peppers,0.4,0.012,0,0
taro leaves raw,0.2,0.013,0.075,0.043
corn raw,1.9,0.5,0.6,0.7
roselle,0.4,0,0,0
drumstick leaves raw,0.3,0,0,0
scallop squash raw,0.3,0.097,0.018,0.1
chicory roots,0.2,0.052,0.054,0.041
brussels sprouts raw,0.077,0.072,0.028,0.026
kale cooked,1.4,0.2,0.1,0.8
pupusas con frijoles,11.4,2.8,3.8,3.7
mustard cabbage,0.1,0.016,0.057,0.033
gourd raw,0.2,0.07,0.076,0.041
butternut squash cooked,0.2,0.013,0.076,0.036
burdock root cooked,0.2,0,0,0
cassava,0.6,0.2,0.2,0.061
peas carrots cooked,0.7,0.1,0.004,0.3
romaine lettuce,0.1,0.049,0.085,0.079
yam raw,0.3,0.067,0.019,0.1
chowchow pickles,2.2,0.4,0.4,1
prairie turnips raw,0.029,0,0,0
savoy cabbage raw,0.017,0.091,0.008,0.014
celery raw,0.045,0.005,0.033,0.091
celeriac cooked,0.3,0,0,0
mustard spinach raw,0.5,0.087,0.2,0.073
zucchini raw,0.8,0.2,0.074,0.2
okra cooked,0.3,0.032,0.033,0.034
white icicle radish,0.1,0.076,0.083,0.091
orange tomato,0.2,0.097,0.062,0.046
pumpkin leaves raw,0.2,0.053,0.063,0.039
spaghetti squash cooked,0.4,0.091,0,0.2
white corn cooked,1.5,0.2,0.4,0.6
artichoke cooked,0.4,0.059,0.077,0.2
avocado,39.6,5.7,26.5,4.9
string beans wellsley farms,0,0,0,0
lambs quarters cooked,1.3,0.085,0.2,0.6
peas cooked,0.4,0.065,0.05,0.2
beets cooked,0.085,0.026,0.024,0.07
shallots dried,0.013,0.063,0.043,0.061
green lettuce,0.2,0.027,0.075,0.1
kohlrabi cooked,0.2,0.041,0.004,0.094
kanpyo dried,0.3,0.041,0.012,0.1
prairie turnips boiled,0.086,0,0,0
broccoli raab cooked,0.4,0.086,0.017,0.1
summer squash cooked,1,0.2,0.031,0.3
taro cooked,0.1,0.012,0.064,0.056
spring onion scallions,0.077,0.029,0.055,0.031
hubbard squash cooked,0.7,0.1,0.042,0.3
jalapeno pepper,0.002,0.06,0.018,0.095
new zealand spinach cooked,0.3,0.027,0.028,0.1
sesbania flower raw,0.095,0,0,0
spirulina dried,0.5,0.2,0.019,0.1
chinese cabbage pe tsai cooked,0.2,0.011,0.059,0.086
zucchini cooked,0.6,0.1,0.095,0.3
green olives pickled,0.4,0.064,0.3,0.047
lotus root raw,0.1,0.057,0.089,0.04
grape leaves,0.3,0.085,0.063,0.1
dill pickled cucumber,0.2,0.08,0.055,0.065
skunk cabbage,0.1,0,0,0
banana pepper,0.1,0.018,0.073,0.098
oriental radish raw,0.3,0.1,0.01,0.2
purslane cooked,0.2,0,0,0
rhubarb raw,0.1,0.043,0.018,0.045
swamp cabbage,0.2,0,0,0
mung bean sprouts raw,0.044,0.036,0.026,0.085
onion cooked,0.034,0.095,0.098,0.092
swiss chard raw,0.042,0.065,0.092,0.013
peas raw,0.6,0.1,0.086,0.3
cabbage cooked,0.019,0,0.012,0.061
taro leaves cooked,0.6,0.1,0.065,0.2
leeks cooked,0.2,0.086,0.098,0.1
split peas cooked,0.8,0.1,0.2,0.3
sweet corn yellow,0.4,0.029,0.1,0.2
asparagus raw,0.037,0.012,0,0.083
collard cooked,1.4,0.049,0.095,0.3
swiss chard cooked,0.1,0,0,0
nopales cooked,0.003,0.064,0.007,0.071
tahitian taro cooked,0.9,0.2,0.015,0.4
chinese cabbage pak choi raw,0.1,0.013,0.03,0.034
green chili pepper,0.097,0.067,0.088,0.034
mountain yam raw,0.1,0.015,0.047,0.027
parsnips cooked,0.5,0.081,0.2,0.018
tomato stewed,3.3,0.6,1.3,1.1
sweet green peppers cooked,0.1,0.037,0.031,0.039
white corn raw,2,0.3,0.6,0.9
rutabaga raw,1.2,0.2,0.2,0.7
jalapeno peppers canned,1.3,0.1,0.031,0.7
pumpkin canned,0.7,0.4,0.098,0.032
peas onions canned,0.5,0.064,0.009,0.2
sweet mashed potato canned,0.5,0.1,0.042,0.2
hominy canned,1.5,0.2,0.4,0.7
tomato puree canned,0.5,0.098,0.028,0.2
dried tomatoes canned in oil,0.4,0.072,0.3,0.076
mixed vegetables canned,0.6,0.1,0.039,0.3
straw mushrooms canned,0.09,0.1,0.06,0.027
capers canned,0.089,0.021,0.098,0.089
red peppers canned,0.058,0.03,0.069,0.098
carrots canned,0.6,0.1,0.009,0.3
tomatoes in tomato juice canned,0.3,0.08,0.013,0.1
asparagus canned,0.7,0.2,0.015,0.3
sweet red peppers canned,0.4,0.013,0.006,0.2
onions canned,0.084,0.045,0.06,0.042
turnip greens canned,0.4,0.1,0.047,0.2
hearts of palm,0.2,0.056,0.029,0.02
spinach canned,0.9,0.1,0.074,0.4
sweet potato canned,1.3,0.3,0.08,0.5
corn canned,0.6,0.032,0.1,0.2
peas carrots canned,0.7,0.1,0.052,0.3
crookneck squash canned,0.1,0.088,0.065,0.027
tomatoes canned,0.7,0.062,0.1,0.3
pimento canned,0.6,0.004,0.081,0.3
sweet green peppers canned,0.4,0.037,0.015,0.2
peas canned,0.8,0.1,0.021,0.4
chili peppers canned,0.4,0.013,0.053,0.2
green peppers canned,0.074,0.096,0.015,0.062
grape leaves canned,0.6,0.065,0.016,0.3
sauerkraut canned,0.2,0.023,0.056,0.01
beets canned,0.2,0.017,0.06,0.099
stewed tomatoes canned,0.5,0.078,0.058,0.2
tomato paste canned,1.2,0.3,0.2,0.4
bacon ranch salad mcdonalds,20.1,5.2,7.9,5.2
caesar salad with grilled chicken mcdonalds,5.6,3,1.5,0.6
caesar salad mcdonalds,4.4,2.5,1,0.3
vegetable salad,0.054,0.053,0.03,0.016
vegetable salad with chicken,1.5,0.4,0.5,0.4
potato salad,20.5,3.6,6.2,9.3
taco salad taco bell,48.9,15.9,21.2,4
iceberg lettuce,0.045,0.089,0.015,0.076
cornsalad,0.2,0,0,0
potato salad with egg,23.5,3.6,5,12.5
side salad mcdonalds,0.2,0.014,0.061,0.031
caesar salad with crispy chicken mcdonalds,16.4,4.3,6.5,4.7
grape apple salad with walnuts,8.2,1.1,1.4,5.3
vegetable salad with cheese egg,3.9,2,1.2,0.3
celtuce,0.088,0,0,0
arugula,0.1,0.029,0.015,0.057
vegetable salad with shrimp,1.7,0.4,0.5,0.3
coleslaw,18.9,3.1,5.1,10.2
shiitake mushrooms cooked,0.007,0.061,0.051,0.064
shiitake mushrooms raw,0.039,0,0,0
crimini mushrooms,0.018,0.054,0.014,0.025
mushrooms raw,0.2,0.052,0,0.1
portabella mushrooms grilled,0.7,0.023,0.021,0.3
maitake mushrooms,0.017,0.011,0.059,0.022
shiitake mushrooms dried,0.061,0.014,0.004,0.058
chanterelle mushrooms,0.063,0,0,0
cloud ear fungus dried,0.2,0,0,0
mushrooms cooked,0.7,0.05,0.004,0.3
pepeao dried,0.1,0,0,0
truffles,4.1,2.2,1.5,0.1
jews ear,0.095,0,0,0
enoki mushrooms,0.099,0.027,0,0.01
morel mushrooms,0.07,0.056,0.031,0.007
portabella mushrooms raw,0.3,0.036,0.016,0.1
oyster mushroom,0.035,0.016,0.039,0.099
