food,Water
chamomile tea,199.4
black tea,236.3
herb tea,199.4
clam tomato juice,145.1
tomato juice,229
vegetable juice,226.3
tomato vegetable juice,226.3
carrot juice,177.7
acorn dried,1.4
fenugreek seeds,1
peanut topping mcdonalds,0.2
beechnuts dried,2
breadnut tree seeds raw,12.7
cumin seeds,0.2
pili nuts dried,3.3
hazelnuts roasted,0.8
lupins cooked,118
hazelnuts blanched,1.6
brazilnuts dried,0.2
sunflower seeds dry roasted,0.076
ginkgo nuts canned,113.1
peanuts cooked,75.2
pumpkin squash seeds dried,6.7
cashew nuts raw,1.5
sunflower seeds dried,2.2
lotus seeds dried,4.5
butternuts dried,4
sesame seeds dried,0.4
breadfruit seeds,16.9
pinyon pine nuts dried,0.045
pine nuts dried,3.1
flaxseeds,0.7
safflower seed kernels dried,1.6
pistachio nuts raw,4.8
peanuts raw,9.5
poppy seeds,0.5
valencia peanuts raw,6.2
spanish peanuts,9.3
dill seeds,0.5
caraway seeds,0.7
acorn raw,7.9
almonds roasted,0.8
lotus seeds raw,21.8
chestnuts cooked,19.3
alfalfa seeds,2.8
virginia peanuts roasted,0.7
hazelnuts raw,4
anise seeds,0.2
macadamia nuts roasted,0.5
studentenfutter alnatura,0
pumpkin squash seeds roasted,0.2
water chestnut raw,91.1
chestnuts roasted,6.1
ginkgo nuts raw,15.6
almonds raw,0.026
peanuts roasted,0.4
sunflower seeds toasted,1.3
sisymbrium seeds,4.5
breadnut tree seeds dried,10.4
pecans raw,3.8
chia seeds dried,1.6
japanese chestnuts roasted,14.1
sesame seeds toasted,0.3
cashew nuts roasted,0.7
lupins raw,18.8
mustard seeds ground,0.1
mixed nuts roasted,0.5
salat mix alestro,0
chestnuts raw,70.5
pistachio nuts roasted,0.6
walnut,0.2
celery seeds,0.4
hickorynuts dried,3.2
spanish peanuts roasted,2.6
woca seeds dried,2.6
pecans roasted,0.3
fennel seeds,0.2
chinese chestnuts roasted,11.4
watermelon seed kernels dried,5.5
macadamia nuts raw,0.011
pectin,4.4
black walnut dried,0.2
water chestnut canned,121
ginkgo nuts dried,3.5
virginia peanuts raw,10.1
valencia peanuts roasted,0.6
nesfit diet cereal nestle,0
corn grits cooked,213.1
amaranth flakes,1.1
granola,3.5
muesli with fruit nuts,5.1
muesli master crumble,0
bran flakes,1.4
nut cereal,2.6
corn flakes,0.9
corn grits dry,1.1
margarine with yoghurt,3.9
sunflower seed butter,0.1
hazelnut oil,0
menhaden fish oil,0
cod liver fish oil,0
sardine oil,0
cupu assu oil,0
lard,0
sesame butter,0.3
margarine spread,7
lard vegetable oil,0
shortening,0
vegetable oil spread,5.3
cottonseed oil,0
vegetable oil spread fat free,13.7
soy margarine,3.9
margarine with salt,2.3
margarine,2.3
salmon fish oil,0
nutmeg butter oil,0
almond butter,0.3
sour cream shoprite,0
ucuhuba butter oil,0
chicken fat,0.032
herring fish oil,0
bacon grease,0
turkey fat,0.014
beef tallow,0
goose fat,0.053
duck fat,0.015
mutton tallow,0
grapeseed oil,0
sheanut oil,0
almond oil,0
sunflower oil,0
cashew butter,0.5
canola oil,0
babassu oil,0
teaseed oil,0
avocado oil,0
vegetable palm kernel oil,0
coconut oil,0
safflower oil,0
vegetable oil,0
apricot kernel oil,0
peanut oil,0
poppyseed oil,0
flaxseed oil,0.04
tomatoseed oil,0
wheat germ oil,0
sesame oil,0
corn granola oil,0
cocoa butter oil,0
olive oil,0
palm kernel oil,0.064
mustard oil,0
rice bran oil,0
vegetable macaroni dry,8.3
chow mein noodles,0.7
chinese noodles,17.4
vegetable macaroni cooked,91.6
corn pasta dry,10.5
egg noodles dry,3.4
whole wheat spaghetti dry,2.1
japanese soba noodles dry,1.9
rice noodles dry,3.4
spinach spaghetti dry,2.4
egg noodles cooked,54.2
japanese somen noodles cooked,119.5
whole wheat macaroni dry,7.7
pasta marinara and ground beef sauce,0
macaroni raw,10.4
spaghetti dry,2.8
fusilli cucina,0
japanese somen noodles dry,2.6
pasta cooked,157.7
macaroni cooked,87
spinach egg noodles dry,3.3
japanese soba noodles cooked,83.2
rice noodles cooked,129.9
whole wheat macaroni cooked,94
spaghetti cooked,142.9
whole wheat spaghetti cooked,94
waffle,31.5
baked taco shell,0.8
puff pastry,18.1
blueberry muffin,14.2
bread crumbs,7
warm cinnamon roll mcdonalds,5.8
corn muffin,21.5
tortilla,78.7
croutons seasoned,1.4
buttermilk waffle,10.4
flour tortilla,15.9
glazed donut,2.9
corn tortilla,11
muffin,21.5
croutons,0.4
donut with jelly filling,30.3
sweet cinnamon rolls,20.6
oat bran muffin,6
french cruller donut,7.3
pancakes,20.1
chocolate donut,9.8
sweet cheese rolls,19.4
eclair,54.4
donut with cream filling,32.5
fruit toaster pastry,5.3
donut,8.8
pancakes whole wheat,23.2
keikitos,5.5
zwieback,0.3
chocolate coated donut,3
waffle toasted,10.1
cinnamon toaster pastry,5.4
wheat bran bread,13.6
white bread,10.6
oat bran bread,13.2
whole wheat bread natures own,0
high protein bread dr zaks,0
wheat bread,10.2
egg bread toasted,10.5
butter toastbrot ja,0
vienna bread toasted,6
vienna bread,8.9
protein bread,7.6
banana bread,16.6
rice bran bread,11.1
white fibre wonder bread,0
focaccia,26.2
oat bran bread toasted,10.4
rye bread,11.9
wheat germ bread,10.4
protein bread toasted,5.8
oatmeal bread,9.9
arepa,49.8
raisin bread toasted,8.1
cracked wheat bread,10.1
garlic bread,13.7
rye bread toasted,9
whole wheat bread,15
whole wheat bread toasted,10.9
pan dulce bread,13.6
rice bran bread toasted,9
pita bread whole wheat,8.6
wheat germ bread toasted,7.3
pumpernickel bread,9.9
frybread,48
white bread toasted,8.6
piki bread,2.5
wheat bread toasted,5.8
pita bread,19.3
potato bread,10.7
egg bread,13.9
oatmeal bread toasted,7.8
cheese bread,10.1
pumpernickel bread toasted,9.2
raisin bread,10.8
pumpernickel roll,9
cinnamon raisin bagel,8.3
english muffin,24.1
rye dinner roll,12.9
english muffin whole wheat,30.2
dinner roll whole wheat,9.3
dinner roll,10.4
hotdog roll,14.4
bagel,36.8
oat bran bagel,22.7
pain au chocolat de la boulangerie,0
egg bagel,8.5
english muffin toasted,17.1
english muffin whole wheat toasted,25
biscuit,29.2
french roll,13.2
oat bran dinner roll,14.5
pecan shortbread cookies,0.5
oatmeal cookies,1.4
chocolate wafers,5
vanilla wafers low fat,4.1
chocolate chip cookies mcdonalds,1.2
gingersnap cookies,0.4
biscotti abbracci mulino bianco,0
chocolate chip cookie,1.4
brownie,8.2
shortbread cookies,0.3
oatmeal cookies with raisins,1
peanut butter sandwich cookies,0.4
sugar cookies,0.7
chocolate covered graham crackers,0.4
raisin cookies,2
vanilla wafers,0.3
graham crackers,3.7
peanut butter cookies,1.2
vanilla sandwich cookie,0.3
sugar wafers with creme filling,0.2
cheese puffs,0.6
saltine crackers,0.1
trail mix,2.8
corn cones,0.6
chocolate pretzels,0.3
french toast sticks,7.3
crackers,0.5
sesame sticks,0.2
cheese crackers,0.2
oriental rice cracker mix,0.7
breadsticks,1.5
milk crackers,0.5
matzo crackers whole wheat,1.3
matzo crackers with egg,1.8
granola bites,0.4
crackers whole wheat,0.8
tropical trail mix,12.6
soft pretzels,17.3
corn tostada shell,0.4
matzo crackers,1.2
sesame crunch,0.073
trail mix with chocolate chips,9.6
cracker meal,8.7
puffed rice,1.1
filinchen gutena,0
melba toast crackers,1.5
matzo crackers with egg onion,2
cornnuts,0.4
bagel chips,8.8
pretzels,0.9
potato raw,169
gatto di patate home made,0
baked potato,129.6
potato sticks,0.8
potato cooked,46.2
vivaldi potatoes sainsburys,0
potato ham chowder soup,204.7
russet potato raw,290
russet potato baked,222.6
french fries,5.9
potato scalloped,198.3
cottage fries,4.4
mashed potatoes,192.7
mashed potato with milk and butter,158.8
red potato raw,172.4
potato pancake,10.5
potato puffs,76.4
red potato baked,65.2
potatoes canned,263.5
potato skin raw,31.7
shoestring french fries,1.2
hash brown potato,26.1
baked chips lays,0
corn chips,0.3
nacho cheese tortilla chips low fat,0.5
corn chips barbecue,2.4
corn chips unsalted,0.9
potato chips fat free,4.5
sweet chilli kettle baked chips,0
taro chips,0.064
potato chips reduced fat,1.7
onion snacks,0.6
potato chips cheese,3.1
yuca cassava chips,0.062
tortilla chips low fat,0.5
ranch flavor tortilla chips,6.2
potato chips,0.6
tortilla chips,0.8
sweet potato chips,1.3
nacho cheese tortilla chips,0.5
vegetable chips,1.8
taco flavor tortilla chips,3.6
potato chips barbecue,3.8
pita chips,0.6
potato chips sour cream and onion,3.6
adobo fresco,63.6
chili pepper sauce red,14.1
creamy ranch sauce mcdonalds,11.7
catsup,11.8
chili pepper sauce green,14.1
red wine vinegar,14.1
fish sauce,12.8
coleslaw dressing reduced fat,6.3
sour dressing,9
guava sauce cooked,213.2
pizza sauce,218.5
sweetn sour sauce mcdonalds,16.1
nance syrup,2.8
french dressing reduced fat,8.7
peppercorn dressing,4.3
sorghum syrup,4.8
ranch dressing fat free,9.6
caesar dressing low calorie,11
sweet sour dressing,15.3
mayonnaise imitation fat free,12.6
sofrito,122.9
turkey gravy instant,0.4
teriyaki sauce,12.2
tomato sauce,223.6
barbecue sauce kraft,8.7
cranberry sauce sweetened,168
coleslaw dressing,6.4
onion gravy dry,1
corn syrup light,5
bacon tomato dressing,8.8
pancake syrup,6
balsamic vinegar,12.2
ranch dressing reduced fat,9.3
barbecue sauce mcdonalds,16.2
vinegar oil dressing,7.6
poppyseed dressing,6.4
honey mustard dressing,4.9
french dressing fat free,10.4
vinegar,14.1
spray dressing,5.7
honey mustard dressing fat free,8.4
mushroom gravy,211.8
white sauce,187.2
marinara pasta sauce,230.7
tomato sauce with mushrooms,215.5
pork gravy powder,0.3
beef gravy,203.8
green goddess dressing,6.8
salsa con queso,184.3
cocktail sauce,9.9
worcestershire sauce,13.4
barbecue sauce,9.3
tomato sauce with onions,210.9
brown gravy dry,0.3
blue cheese dressing light,12.4
spanish tomato sauce,217.4
oyster sauce,14.4
cheese sauce,10
hoisin sauce,7.1
pickle relish,9.3
tomato sauce with herbs cheese,203.6
french dressing,5.8
mayonnaise hellmanns,0
canadian maple syrup,9.1
maple syrup,6.5
barbecue sauce bulls eye,8.8
ranch dressing,6.9
tomato ketchup mp,0
mayonnaise light,9.9
mayonnaise dressing,3.3
malt syrup,4.4
gravy dry,1
cranberry orange relish,146.3
caesar dressing,5
italian dressing,9.3
brown gravy instant,0.4
roquefort cheese dressing,11.9
blue cheese dressing,6
duck sauce,12.2
au jus,223
corn syrup dark,4.4
buttermilk dressing light,9.3
cider vinegar,14
tartar sauce,10.1
pepper hot sauce,4.2
tomato chili sauce,4.1
turkey gravy dry,0.3
salsa sauce,16.1
steak sauce,12.1
molasses,4.4
italian dressing fat free,12
plum sauce,10.2
chow mein stir fry master foods,0
beef gravy instant,0.3
horseradish,4.3
grenadine,6.5
tabasco sauce,4.5
sweet sour sauce,10.5
salsa verde,13.4
miso,8.6
sprouted soybean cooked,74.7
soy flour roasted,3.2
soy flour low fat,4.1
green soybean cooked,61.7
azumaya tofu vitasoy,331.8
soy proteins isolate,1.4
tofu yogurt,203.1
bacon meatless,70.5
meatless chicken fried,73.4
soymilk,221.1
soy vermicelli,16.7
tofu fried,6.6
tempeh,99
koyadofu,1
meatless meatloaf,32.5
soya vanille joghurt alpro,0
soybean curd cheese,159.5
soy sauce,11.4
soybean dry roasted,0.7
soybean oil,0
meatless chicken,98.9
soybean cooked,107.6
soymilk nonfat,225.2
soy flour,0.3
soybean lecithin oil,0
tofu raw,209.7
soy chips,2.4
green soybean raw,172.8
soy proteins concentrate,1.6
soybean margarine,0.7
chocolate soymilk nonfat,214.8
okara,99.6
meatless meatballs,83.5
vanilla soymilk,214
soy meal raw,8.5
soymilk low fat,218.4
sprouted soybean raw,48.3
soybean raw,15.9
tempeh cooked,16.9
vanilla soymilk light,223.6
chocolate soymilk,208
soy oil,0
natto,44
chrysanthemum raw,46.6
gourd cooked,150
cauliflower raw,12
red cabbage raw,153.7
broccoli raab raw,37
napa cabbage cooked,105
kelp,4.1
shallots raw,20
bamboo shoots raw,163.8
jute cooked,75.8
red lettuce,26.8
broccoli cooked,249.9
romanesco raw,57.5
eggplant raw,422.7
leeks raw,73.9
lemongrass citronella,3.4
pumpkin cooked,229.5
celery cooked,35.3
serrano pepper,5.5
nopales raw,80.9
sweet potato leaves cooked,57.1
eggplant cooked,88.8
asparagus cooked,13.9
rutabaga cooked,219.7
parsnips raw,135.2
sour pickles,145.8
turnip greens cooked,134.2
jerusalem artichokes,117
collard raw,32.3
chrysanthemum cooked,92.5
oriental radish dried,22.8
tomatillos,121
taro shoots raw,82.4
acorn squash raw,378.3
leeks dried,0.018
cabbage raw,258.1
sweet red peppers cooked,67.1
sweet red peppers raw,137.4
cucumber peeled,128.7
purslane raw,39.9
peas onions cooked,158.7
tomato cooked,116
taro shoots cooked,133.4
scots kale raw,58.3
artichoke raw,108.7
navy bean sprouts raw,82.3
sweet pickles,121.9
oriental radish cooked,139.7
sweet potato leaves raw,30.4
irishmoss,4.1
drumstick leaves cooked,34.3
winter squash raw,104.1
pumpkin raw,106.3
chicory greens,26.7
spinach cooked,164.2
radish pickled,137.3
sweet onion,302
salsify cooked,109.4
radish seeds sprouted,34.2
turnips raw,168.1
burdock root raw,94.5
red cabbage cooked,154.4
jute raw,24.6
hot chile pepper dried,0.087
salsify raw,102.4
crookneck squash raw,119.7
indian squash cooked,226.1
poi,171.9
sesbania flower cooked,97
acorn squash cooked,169.9
cauliflower cooked,115.3
crookneck squash cooked,169.7
laver seaweed,2.2
mountain yam cooked,111.9
pumpkin flowers raw,31.4
mustard greens raw,50.8
arrowhead,8.7
japanese cabbage,137.1
mung bean sprouts cooked,115.8
scallop squash cooked,171
pumpkin leaves cooked,65.7
hungarian pepper,24.7
sweet potato baked,86.4
chinese cabbage pe tsai raw,71.7
taro raw,73.5
yam bean jicama,117.1
olives,6.7
mustard greens cooked,128.5
pumpkin flowers cooked,127.6
tree fern cooked,125.8
yellow corn raw,17.2
endive,46.9
wakame,64
tahitian taro raw,110
broccoli raw,81.3
sweet green peppers raw,139.9
chinese cabbage pak choi cooked,162.4
agar,4.6
watercress,32.3
beet greens cooked,128.3
winter squash cooked,182.9
new zealand spinach raw,52.6
okra,10.7
yautia tannier,98.6
mustard spinach cooked,170.1
rhubarb cooked,162.7
beets raw,119.1
drumstick pods raw,88.2
baby zucchini,10.2
onion raw,35.6
romanesco cooked,109.2
butternut squash raw,172.8
amaranth leaves,25.7
turnip greens raw,49.3
spaghetti squash raw,92.5
seaweed dry,2.8
yam cooked,95.4
corn dried,1.8
cucumber,142.8
arrowroot,96.9
cardoon raw,167.3
bamboo shoots cooked,115.1
summer squash raw,246.1
sweet potato raw,100.5
green tomato,169.3
beet greens raw,34.6
savoy cabbage cooked,156.4
witloof chicory,50.1
turnips cooked,146
dried tomatoes,0.3
radicchio,60.5
mixed vegetables cooked,151.5
yellow tomato,202
cardoon cooked,112.2
spinach raw,27.4
kale raw,18.8
drumstick pods cooked,104.3
kohlrabi raw,241.2
lentil sprouts,51.9
carrots raw,53.9
red chili peppers,39.6
fennel,211.1
sweet corn white,55.5
celeriac raw,137.3
hubbard squash raw,102.1
brussels sprouts cooked,18.7
carrots cooked,41.5
lambs quarters raw,0.8
lotus root cooked,7.2
split peas raw,22.2
scots kale cooked,118.6
corn cooked,75.6
radish raw,4.3
stinging nettles,78
baby carrots,13.6
sweet yellow peppers,171.2
taro leaves raw,24
corn raw,108.8
roselle,49.4
drumstick leaves raw,16.5
scallop squash raw,122.4
chicory roots,72
brussels sprouts raw,16.3
kale cooked,106
pupusas con frijoles,65.7
mustard cabbage,117.9
gourd raw,89.2
butternut squash cooked,175.6
burdock root cooked,125.6
cassava,122.9
peas carrots cooked,137.3
romaine lettuce,44.5
yam raw,104.4
chowchow pickles,168.8
prairie turnips raw,7.7
savoy cabbage raw,63.7
celery raw,38.2
celeriac cooked,143.1
mustard spinach raw,138.3
zucchini raw,246.5
okra cooked,148.1
white icicle radish,95.4
orange tomato,105.2
pumpkin leaves raw,36.2
spaghetti squash cooked,143.1
white corn cooked,75
artichoke cooked,100.9
avocado,197.7
string beans wellsley farms,0
lambs quarters cooked,160
peas cooked,124.6
beets cooked,43.5
shallots dried,0.087
green lettuce,142.5
kohlrabi cooked,149
kanpyo dried,10.8
prairie turnips boiled,9.5
broccoli raab cooked,77.7
summer squash cooked,245.1
taro cooked,84.2
spring onion scallions,18
hubbard squash cooked,173.1
jalapeno pepper,12.8
new zealand spinach cooked,170.6
sesbania flower raw,2.7
spirulina dried,0.3
chinese cabbage pe tsai cooked,113.3
zucchini cooked,171.4
green olives pickled,2
lotus root raw,91
grape leaves,10.3
dill pickled cucumber,134.9
skunk cabbage,51.8
banana pepper,30.3
oriental radish raw,319.8
purslane cooked,107.5
rhubarb raw,47.7
swamp cabbage,91.1
mung bean sprouts raw,18.1
onion cooked,13.2
swiss chard raw,33.4
peas raw,114.3
cabbage cooked,138.9
taro leaves cooked,133.6
leeks cooked,112.6
split peas cooked,136.2
sweet corn yellow,55.9
asparagus raw,11.2
collard cooked,171.3
swiss chard cooked,162.1
nopales cooked,140.5
tahitian taro cooked,118.5
chinese cabbage pak choi raw,66.7
green chili pepper,39.5
mountain yam raw,110.8
parsnips cooked,128.4
tomato stewed,99.2
sweet green peppers cooked,67.1
white corn raw,126.1
rutabaga raw,690.4
jalapeno peppers canned,120.9
pumpkin canned,220.4
peas onions canned,103.7
sweet mashed potato canned,188.4
hominy canned,136.2
tomato puree canned,219.7
dried tomatoes canned in oil,1.6
mixed vegetables canned,221.1
straw mushrooms canned,4.9
capers canned,7.2
red peppers canned,67.5
carrots canned,422.2
tomatoes in tomato juice canned,226.3
asparagus canned,387.7
sweet red peppers canned,127.8
onions canned,59.3
turnip greens canned,136.4
hearts of palm,29.8
spinach canned,218.1
sweet potato canned,493.7
corn canned,66.1
peas carrots canned,224.8
crookneck squash canned,201.7
tomatoes canned,216.4
pimento canned,178.8
sweet green peppers canned,127.8
peas canned,65.5
chili peppers canned,129.6
green peppers canned,67.5
grape leaves canned,21.5
sauerkraut canned,131.4
beets canned,225.4
stewed tomatoes canned,233.4
tomato paste canned,192.6
bacon ranch salad mcdonalds,246.8
caesar salad with grilled chicken mcdonalds,245.5
caesar salad mcdonalds,191.1
vegetable salad,131.8
vegetable salad with chicken,126.5
potato salad,190
taco salad taco bell,358.8
iceberg lettuce,54.5
cornsalad,52
potato salad with egg,177.5
side salad mcdonalds,81.7
caesar salad with crispy chicken mcdonalds,243.4
grape apple salad with walnuts,124.7
vegetable salad with cheese egg,130.8
celtuce,7.6
arugula,18.3
vegetable salad with shrimp,140.2
coleslaw,140.2
shiitake mushrooms cooked,15
shiitake mushrooms raw,17.1
crimini mushrooms,5.5
mushrooms raw,64.7
portabella mushrooms grilled,109.7
maitake mushrooms,1
shiitake mushrooms dried,0.3
chanterelle mushrooms,4.9
cloud ear fungus dried,4.1
mushrooms cooked,142.1
pepeao dried,2.7
truffles,1.6
jews ear,91.7
enoki mushrooms,2.7
morel mushrooms,11.6
portabella mushrooms raw,79.8
oyster mushroom,13.4
